"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cnyinthedesert.com","FirstLinkDate_cnyinthedesert.com","LastLinkDate_cnyinthedesert.com"
94,"thespectrum.com",49680,152020,1,1,6729670,792838,556458,10/01/2008 00:00,10/08/2013 00:00,"23.13.164.71","23.13.164.0","US","com",47,47,1,13/02/2013 00:00,21/02/2013 00:00
95,"moresiteslike.net",772,264803,1,1,34746,2638641,177623,16/03/2013 00:00,08/07/2013 00:00,"213.174.158.140","213.174.158.0","US","net",20,15,1,09/06/2013 00:00,09/06/2013 00:00
96,"ie7pro.com",36085,268730,1,1,6646312,1090849,346842,10/01/2008 00:00,10/08/2013 00:00,"184.172.2.123","184.172.2.0","US","com",40,40,1,08/08/2012 00:00,08/08/2012 00:00
97,"facesaerch.com",6325,302411,1,1,291007,3743785,953669,16/08/2008 00:00,10/08/2013 00:00,"46.30.211.54","46.30.211.0","DK","com",34,30,1,07/02/2013 00:00,07/02/2013 00:00
98,"hawaiitribune-herald.com",22043,309908,1,1,1431857,19767916,1301221,09/02/2008 00:00,10/08/2013 00:00,"184.169.178.1","184.169.178.0","US","com",48,43,1,25/07/2013 00:00,25/07/2013 00:00
99,"dailyjournal.net",14242,408900,1,1,865788,1084861,358828,11/10/2008 00:00,10/08/2013 00:00,"74.52.139.18","74.52.139.0","US","net",46,34,1,07/02/2013 00:00,07/02/2013 00:00
100,"tribtown.com",25544,409329,1,1,699132,15477948,1165213,07/02/2008 00:00,10/08/2013 00:00,"50.57.202.53","50.57.202.0","US","com",25,27,1,08/02/2013 00:00,08/02/2013 00:00
101,"epu.edu.vn",10626,556270,1,1,328726,58055514,2571887,24/01/2008 00:00,10/08/2013 00:00,"112.213.89.95","112.213.89.0","VN","vn",28,21,1,22/03/2012 00:00,22/03/2012 00:00
102,"cityzapper.nl",4583,714943,1,1,1230646,139886,102564,09/01/2008 00:00,10/08/2013 00:00,"87.253.139.42","87.253.139.0","NL","nl",47,23,1,14/04/2013 00:00,18/07/2013 00:00
103,"faceoff.com",8526,892783,1,1,2013565,322155,240713,09/01/2008 00:00,10/08/2013 00:00,"23.67.243.24","23.67.243.0","US","com",41,42,1,20/04/2013 00:00,20/04/2013 00:00
104,"burnabynow.com",6065,916956,1,1,533699,436377,276934,28/01/2008 00:00,10/08/2013 00:00,"23.65.181.99","23.65.181.0","US","com",49,43,1,04/06/2013 00:00,04/06/2013 00:00
105,"alivincent.com",3751,936911,1,1,42750,28140,9911,17/09/2009 00:00,10/08/2013 00:00,"97.74.215.148","97.74.215.0","US","com",26,15,1,04/04/2012 00:00,04/04/2012 00:00
106,"straightlinetravel.com",2586,-1,1,1,362337,53120,32318,14/11/2008 00:00,03/07/2013 00:00,"54.246.121.183","54.246.121.0","IE","com",29,6,1,08/02/2013 00:00,10/06/2013 00:00
107,"ktph.org",66,-1,1,1,197,11822,8767,28/01/2008 00:00,09/08/2013 00:00,"66.209.79.122","66.209.79.0","US","org",6,0,1,06/02/2013 00:00,06/02/2013 00:00
108,"knpraudio.org",190,-1,1,1,24507,655,15,26/01/2011 00:00,07/08/2013 00:00,"66.209.79.122","66.209.79.0","US","org",17,27,1,09/02/2013 00:00,24/02/2013 00:00
109,"cityzapper.be",274,-1,1,1,15614,38708,28998,27/01/2008 00:00,09/08/2013 00:00,"87.253.139.38","87.253.139.0","NL","be",32,14,1,27/05/2013 00:00,26/07/2013 00:00
110,"echocardiology.org",793,-1,1,1,437799,3759295,1351575,27/01/2008 00:00,05/02/2013 00:00,"216.172.172.110","216.172.172.0","US","org",10,14,1,16/05/2012 00:00,16/05/2012 00:00
111,"arts4nevada.org",265,-1,1,1,51182,11319,8002,09/04/2008 00:00,09/08/2013 00:00,"50.116.11.136","50.116.11.0","US","org",25,27,1,07/07/2013 00:00,07/07/2013 00:00
112,"freelikeabeer.com",149,-1,1,1,417,7768,4481,23/02/2013 00:00,01/08/2013 00:00,"50.21.179.41","50.21.179.0","US","com",7,0,1,10/07/2012 00:00,10/07/2012 00:00
113,"grouchyjohns.com",84,-1,1,1,559,462,386,28/05/2011 00:00,10/08/2013 00:00,"66.117.4.177","66.117.4.0","US","com",17,23,1,13/02/2013 00:00,23/02/2013 00:00
114,"horizonwebmarketing.com",99,-1,1,1,783,271,226,19/02/2013 00:00,31/07/2013 00:00,"174.122.114.254","174.122.114.0","US","com",19,9,1,09/02/2013 00:00,30/06/2013 00:00
115,"sibernetik.net",1088,-1,1,1,9894,180622,69732,01/03/2008 00:00,10/08/2013 00:00,"208.109.78.143","208.109.78.0","US","net",26,8,1,06/08/2013 00:00,06/08/2013 00:00
116,"negaheno.net",929,-1,1,1,20777,18287,9867,27/06/2008 00:00,10/08/2013 00:00,"65.254.250.109","65.254.250.0","US","net",26,8,1,29/05/2013 00:00,29/05/2013 00:00
117,"mullerovi.net",110,-1,1,1,1289,26536,17184,27/01/2008 00:00,14/08/2012 00:00,"69.43.161.167","69.43.161.0","US","net",13,9,1,25/07/2012 00:00,25/07/2012 00:00
118,"inforetail.com",239,-1,1,1,2870,2164,1480,16/08/2010 00:00,10/08/2013 00:00,"205.147.208.251","205.147.208.0","US","com",14,16,1,14/06/2013 00:00,14/06/2013 00:00
119,"medicalmarijuanatexas.net",72,-1,1,1,508,4443,3930,24/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",16,2,1,24/02/2013 00:00,23/07/2013 00:00
120,"chilliwacktimes.com",5477,-1,1,1,282998,463898,267350,12/01/2008 00:00,10/08/2013 00:00,"69.31.58.153","69.31.58.0","US","com",46,29,1,03/06/2013 00:00,03/06/2013 00:00
121,"irspeedvpn.com",4084,-1,1,1,36136,9240,3149,09/11/2008 00:00,26/06/2012 00:00,"209.236.117.61","209.236.117.0","US","com",10,4,1,28/03/2012 00:00,28/03/2012 00:00
122,"chirobevel.be",3293,-1,1,1,16202,188555,55046,28/10/2009 00:00,10/08/2013 00:00,"46.30.211.54","46.30.211.0","DK","be",29,9,1,10/05/2012 00:00,10/05/2012 00:00
123,"medicalmarijuanaiowa.org",67,-1,1,1,457,4049,3485,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",16,0,1,16/07/2013 00:00,16/07/2013 00:00
124,"medicalmarijuanamaryland.org",121,-1,1,1,799,4393,3758,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",19,0,1,14/07/2013 00:00,14/07/2013 00:00
125,"medicalmarijuanamississippi.org",63,-1,1,1,518,4119,3715,04/03/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",15,0,1,09/08/2013 00:00,09/08/2013 00:00
126,"taze.us",301,-1,1,1,2726,3267,1368,18/08/2010 00:00,10/08/2013 00:00,"173.236.128.85","173.236.128.0","US","us",19,2,1,25/07/2012 00:00,25/07/2012 00:00
127,"cichlid.gen.tr",238,-1,1,1,59019,21605,7462,21/10/2009 00:00,31/07/2013 00:00,"37.18.177.131","37.18.177.0","US","tr",12,9,1,15/04/2013 00:00,27/07/2013 00:00
128,"nappo.su",1856,-1,1,1,8621,11683,1938,16/02/2010 00:00,02/10/2012 00:00,"31.31.204.60","31.31.204.0","RU","su",11,4,1,25/07/2012 00:00,25/07/2012 00:00
129,"pdrustvo-tam.si",1782,-1,1,1,17236,44027,23850,25/01/2008 00:00,31/05/2012 00:00,"69.56.131.82","69.56.131.0","US","si",13,10,1,17/03/2012 00:00,17/03/2012 00:00
130,"digitaleveryware.com",94,-1,1,1,1080,203,134,10/02/2008 00:00,09/08/2013 00:00,"75.101.131.132","75.101.131.0","US","com",14,14,1,30/01/2012 00:00,30/01/2012 00:00
131,"rfidnordic.se",4482,-1,1,1,29705,44794,7260,28/01/2010 00:00,10/08/2013 00:00,"217.198.155.45","217.198.155.0","SE","se",18,10,1,17/02/2012 00:00,17/02/2012 00:00
132,"telecomtrading.ru",3567,-1,1,1,20433,194326,122950,21/02/2010 00:00,10/08/2013 00:00,"77.222.40.21","77.222.40.0","RU","ru",38,4,1,28/03/2012 00:00,28/03/2012 00:00
133,"s-and-e.ru",5021,-1,1,1,34558,187261,85836,11/12/2009 00:00,10/08/2013 00:00,"195.208.0.110","195.208.0.0","RU","ru",24,9,1,01/08/2012 00:00,21/12/2012 00:00
134,"conocimientoyhabilidades.com",18257,-1,1,1,203145,80473,28693,07/03/2010 00:00,10/08/2013 00:00,"82.223.216.202","82.223.216.0","ES","com",24,6,1,13/06/2012 00:00,13/06/2012 00:00
135,"duraskinindonesia.com",3920,-1,1,1,22612,22560,7135,18/09/2009 00:00,07/08/2013 00:00,"119.235.255.70","119.235.255.0","ID","com",16,4,1,10/07/2012 00:00,10/07/2012 00:00
136,"corabiaforum.ro",35,-1,1,1,85,73053,31921,18/06/2012 00:00,10/08/2013 00:00,"81.18.86.3","81.18.86.0","RO","ro",12,0,1,13/07/2013 00:00,13/07/2013 00:00
137,"olsztynskiemorsy.pl",1400,-1,1,1,12149,78532,18245,17/11/2010 00:00,10/08/2013 00:00,"46.229.151.194","46.229.151.0","PL","pl",23,16,1,21/05/2012 00:00,15/04/2013 00:00
138,"gsmhelp.pl",1152,-1,1,1,71161,90059,39319,05/06/2009 00:00,10/08/2013 00:00,"176.9.95.8","176.9.95.0","DE","pl",23,7,1,23/07/2013 00:00,23/07/2013 00:00
139,"ozpersia.com.au",980,-1,1,1,5665,110262,51398,28/10/2008 00:00,04/12/2012 00:00,"112.140.178.217","112.140.178.0","AU","au",8,1,1,13/04/2012 00:00,13/04/2012 00:00
140,"e-daralhuda.com",848,-1,1,1,3067,128946,50425,03/11/2011 00:00,10/08/2013 00:00,"173.201.0.128","173.201.0.0","US","com",18,5,1,07/07/2013 00:00,07/07/2013 00:00
141,"shilova.org",8489,-1,1,1,182319,34509,21707,11/11/2010 00:00,10/08/2013 00:00,"91.209.206.54","91.209.206.0","UA","org",23,14,1,14/04/2013 00:00,14/04/2013 00:00
142,"nakous.org",8492,-1,1,1,51692,427862,152951,24/05/2009 00:00,10/08/2013 00:00,"66.96.134.61","66.96.134.0","US","org",11,1,1,03/06/2013 00:00,03/06/2013 00:00
143,"medicalmarijuanatexas.org",119,-1,1,1,759,5313,4185,27/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",21,2,1,20/03/2013 00:00,09/08/2013 00:00
144,"eliteflashgame.com",16,-1,1,1,37,1086,1079,29/05/2013 00:00,10/08/2013 00:00,"50.63.40.1","50.63.40.0","US","com",10,1,1,13/07/2013 00:00,13/07/2013 00:00
145,"jamesadamselectric.com",687,-1,1,1,12957,21168,19773,21/06/2012 00:00,10/08/2013 00:00,"184.168.139.1","184.168.139.0","US","com",25,3,1,16/03/2013 00:00,14/07/2013 00:00
146,"lasvegasmirror.com",52,-1,1,1,324,1618,1255,10/11/2010 00:00,13/09/2012 00:00,"76.12.127.4","76.12.127.0","US","com",7,11,1,13/09/2012 00:00,13/09/2012 00:00
147,"lgl20th.net",1526,-1,1,1,8997,24868,6287,01/12/2008 00:00,10/08/2013 00:00,"82.165.95.94","82.165.95.0","DE","net",13,1,1,26/04/2012 00:00,26/04/2012 00:00
148,"mahmudesadcosan.biz",2414,-1,1,1,26964,328899,47906,04/12/2011 00:00,10/08/2013 00:00,"176.53.43.199","176.53.43.0","TR","biz",27,10,1,08/05/2012 00:00,08/05/2012 00:00
149,"oujforum.com",1073,-1,1,1,6509,3382512,75280,21/11/2010 00:00,26/12/2012 00:00,"67.215.66.132","67.215.66.0","US","com",11,2,1,13/06/2012 00:00,13/06/2012 00:00
150,"pendletontimespost.com",186,-1,1,1,247957,447234,133714,14/10/2011 00:00,10/08/2013 00:00,"74.52.139.23","74.52.139.0","US","com",24,27,1,22/02/2013 00:00,22/02/2013 00:00
151,"alarabia-traveltours.com",752,-1,1,1,10577,273961,79865,17/09/2010 00:00,10/08/2013 00:00,"210.5.47.102","210.5.47.0","MY","com",18,2,1,21/06/2012 00:00,21/06/2012 00:00
152,"perkymomsvids.com",2719,-1,1,1,38362,7750,4283,30/01/2008 00:00,10/08/2013 00:00,"74.117.179.23","74.117.179.0","US","com",23,6,1,14/07/2012 00:00,14/07/2012 00:00
153,"aqardaily.com",678,-1,1,1,4102,461554,162498,08/06/2010 00:00,10/08/2013 00:00,"64.74.223.43","64.74.223.0","US","com",15,1,1,13/05/2012 00:00,13/05/2012 00:00
154,"asianpacificnews.com",203,-1,1,1,21028,40893,32337,07/11/2012 00:00,10/08/2013 00:00,"173.201.1.128","173.201.1.0","US","com",26,10,1,23/07/2013 00:00,23/07/2013 00:00
155,"tutuz.com",2669,-1,1,1,19821,601021,183462,19/08/2008 00:00,10/08/2013 00:00,"69.89.31.184","69.89.31.0","US","com",20,16,1,10/11/2012 00:00,10/11/2012 00:00
156,"tuninghell.com",5173,-1,1,1,47131,418394,100703,09/07/2010 00:00,10/08/2013 00:00,"176.9.23.121","176.9.23.0","DE","com",43,6,1,24/06/2013 00:00,24/06/2013 00:00
157,"adult-psp.com",963,-1,1,1,18970,53859,39899,07/03/2008 00:00,10/08/2013 00:00,"66.254.117.17","66.254.117.0","US","com",26,8,1,05/07/2012 00:00,19/10/2012 00:00
158,"pigletsquid.com",53,-1,1,1,308,2058,85,13/12/2011 00:00,10/08/2013 00:00,"67.23.166.25","67.23.166.0","US","com",13,0,1,20/06/2012 00:00,20/06/2012 00:00
159,"assarat.com",917,-1,1,1,5996,130228,17913,03/10/2012 00:00,10/08/2013 00:00,"184.172.59.83","184.172.59.0","US","com",26,6,1,04/07/2013 00:00,04/07/2013 00:00
160,"russwhiterealtor.com",28,-1,1,1,223,806,635,17/03/2013 00:00,10/08/2013 00:00,"69.89.31.167","69.89.31.0","US","com",9,0,1,28/02/2013 00:00,09/07/2013 00:00
161,"sanjosecatholicschool83.com",2600,-1,1,1,11660,212899,49162,03/11/2010 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","com",14,5,1,17/05/2012 00:00,17/05/2012 00:00
162,"balloonamalsbyamy.com",532,-1,1,1,4683,145,114,02/11/2010 00:00,21/06/2012 00:00,"184.168.59.1","184.168.59.0","US","com",14,2,1,21/06/2012 00:00,21/06/2012 00:00
163,"ttbtntt.com.vn",26650,-1,1,1,381336,146505,54951,23/02/2008 00:00,10/08/2013 00:00,"173.236.158.199","173.236.158.0","US","vn",55,14,1,23/06/2013 00:00,23/06/2013 00:00
164,"seattletimes.com",102195,-1,1,1,16875676,3145028,1190985,12/01/2008 00:00,10/08/2013 00:00,"23.15.7.155","23.15.7.0","US","com",74,64,1,17/06/2013 00:00,17/06/2013 00:00
165,"thecleansingstory.com",104,-1,1,1,714,986,477,02/04/2008 00:00,10/08/2013 00:00,"208.97.136.200","208.97.136.0","US","com",11,14,1,03/07/2012 00:00,03/07/2012 00:00
166,"assistirbbbonline.com",456,-1,1,1,7494,96961,44513,21/06/2012 00:00,14/07/2013 00:00,"46.17.100.250","46.17.100.0","RU","com",16,4,1,15/06/2013 00:00,15/06/2013 00:00
167,"richmond-news.com",4214,-1,1,1,245314,325603,208761,17/01/2008 00:00,10/08/2013 00:00,"62.154.232.82","62.154.232.0","DE","com",46,40,1,01/06/2013 00:00,01/06/2013 00:00
168,"suntw.com",667,-1,1,1,8508,93255,26176,24/12/2009 00:00,17/07/2013 00:00,"199.59.243.108","199.59.243.0","US","com",18,26,1,04/07/2012 00:00,04/07/2012 00:00
169,"abbotsfordtimes.com",38257,-1,1,1,935550,648923,364449,04/02/2008 00:00,10/08/2013 00:00,"23.67.250.122","23.67.250.0","US","com",40,29,1,06/08/2013 00:00,06/08/2013 00:00
170,"noiraufeminin.com",6507,-1,1,1,168381,78736,25430,08/03/2008 00:00,05/08/2013 00:00,"87.98.140.31","87.98.140.0","FR","com",43,15,1,14/07/2012 00:00,14/07/2012 00:00
171,"islamickorner.net",1669,-1,1,1,49730,567941,174159,01/06/2011 00:00,10/08/2013 00:00,"206.253.167.162","206.253.167.0","US","net",30,9,1,26/04/2012 00:00,26/04/2012 00:00
172,"hotel-king.net",11982,-1,1,1,122701,94827,48356,31/01/2008 00:00,09/08/2013 00:00,"207.45.188.62","207.45.188.0","US","net",36,5,1,01/08/2012 00:00,01/08/2012 00:00
173,"cherdakli.com",4714,-1,1,1,80392,326568,52203,12/03/2008 00:00,10/08/2013 00:00,"178.250.241.75","178.250.241.0","RU","com",24,11,1,31/03/2013 00:00,31/03/2013 00:00
174,"medicalmarijuanamassachusetts.com",229,-1,1,1,1535,5193,4643,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","com",23,2,1,30/04/2013 00:00,20/07/2013 00:00
175,"gravidafeliz.com.br",3732,-1,1,1,34603,161058,43661,22/07/2009 00:00,10/08/2013 00:00,"187.45.210.113","187.45.210.0","BR","br",35,6,1,05/02/2012 00:00,05/02/2012 00:00
176,"mrcoolsboutique.com",838,-1,1,1,6069,11786,5838,30/10/2010 00:00,25/05/2013 00:00,"66.147.244.189","66.147.244.0","US","com",13,1,1,29/06/2012 00:00,29/06/2012 00:00
177,"50pm.net",229,-1,1,1,14018,79,72,30/01/2011 00:00,21/01/2012 00:00,"208.73.210.214","208.73.210.0","US","net",11,8,1,29/04/2012 00:00,29/04/2012 00:00
178,"mrtimes.com",1995,-1,1,1,218304,523763,302808,17/01/2008 00:00,10/08/2013 00:00,"213.198.95.154","213.198.95.0","DE","com",36,29,1,01/06/2013 00:00,01/06/2013 00:00
179,"visitlongisland.com",0,-1,1,1,0,146170,146170,06/01/2011 00:00,31/07/2013 00:00,"66.54.17.120","66.54.17.0","US","com",0,0,1,08/02/2013 00:00,08/02/2013 00:00
180,"4myhometown.com",936,-1,1,1,28979,1947,1866,19/06/2012 00:00,10/08/2013 00:00,"184.168.249.1","184.168.249.0","US","com",21,6,1,25/07/2012 00:00,25/07/2012 00:00
181,"michelafanfarillo.it",1857,-1,1,1,9982,23188,6307,31/12/2011 00:00,10/08/2013 00:00,"217.73.226.115","217.73.226.0","IT","it",27,7,1,13/04/2013 00:00,17/07/2013 00:00
182,"mygiveawaytoday.com",2579,-1,1,1,71727,13439,6021,07/03/2010 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","com",18,11,1,23/10/2012 00:00,23/10/2012 00:00
183,"artsorcrafts.info",57,-1,1,1,808,117014,41671,26/02/2013 00:00,18/04/2013 00:00,"50.116.98.99","50.116.98.0","US","info",1,0,1,27/02/2013 00:00,27/02/2013 00:00
184,"bestintravelnews.com",38,-1,1,1,3653,56542,42414,24/02/2013 00:00,31/07/2013 00:00,"50.116.99.132","50.116.99.0","US","com",16,3,1,09/03/2013 00:00,09/03/2013 00:00
185,"praxishomepage.de",600,-1,1,1,6681,20800,14226,20/01/2008 00:00,10/08/2013 00:00,"85.236.48.180","85.236.48.0","DE","de",25,19,1,19/04/2013 00:00,17/07/2013 00:00
186,"jcpanzerfaust.de",10511,-1,1,1,58913,89956,17596,09/12/2009 00:00,10/08/2013 00:00,"94.100.20.12","94.100.20.0","NL","de",30,5,1,04/05/2012 00:00,04/05/2012 00:00
187,"newsdayinc.com",8,-1,1,1,15,109559,109558,05/01/2011 00:00,31/07/2013 00:00,"66.54.17.120","66.54.17.0","US","com",0,0,1,08/02/2013 00:00,08/02/2013 00:00
188,"xn----zmcadgb9a5d4fdcm5b.com",2025,-1,1,1,3263279,67798,33019,21/01/2011 00:00,10/08/2013 00:00,"46.4.54.202","46.4.54.0","DE","com",30,12,1,14/06/2012 00:00,14/06/2012 00:00
189,"musikktropp.com",7576,-1,1,1,113901,55365,17240,24/01/2010 00:00,08/05/2013 00:00,"46.30.211.47","46.30.211.0","DK","com",19,3,1,27/07/2012 00:00,27/07/2012 00:00
190,"delta-optimist.com",40235,-1,1,1,1043086,616685,382801,14/01/2008 00:00,10/08/2013 00:00,"64.208.159.42","64.208.159.0","US","com",47,29,1,08/06/2013 00:00,08/06/2013 00:00
