"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_trademarkcarpet.com","FirstLinkDate_trademarkcarpet.com","LastLinkDate_trademarkcarpet.com"
1,"abortion.ws",465,-1,1,167,39303,181588,49452,27/06/2008 00:00,10/08/2013 00:00,"72.233.2.59","72.233.2.0","US","ws",23,17,167,30/06/2012 00:00,30/06/2012 00:00
2,"a2b.cc",12731,-1,1,31,163439,199163,107109,25/01/2008 00:00,19/02/2013 00:00,"199.101.28.20","199.101.28.0","US","cc",22,17,31,25/01/2012 00:00,25/01/2012 00:00
3,"birectory.com",2954,192269,1,30,372229,2660776,166443,13/10/2011 00:00,10/08/2013 00:00,"176.9.90.237","176.9.90.0","DE","com",23,18,30,25/10/2012 00:00,14/01/2013 00:00
4,"jeromeparadis.com",651,-1,1,30,68302,4390,4043,14/01/2008 00:00,10/08/2013 00:00,"174.142.222.115","174.142.222.0","CA","com",25,33,30,07/07/2010 00:00,07/07/2010 00:00
5,"coppercreekconst.com",303,-1,1,30,2316,318,148,15/06/2008 00:00,27/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",13,11,30,23/08/2011 00:00,15/09/2011 00:00
6,"legendsrevealed.com",3925,-1,1,29,61336,10481,9035,18/06/2009 00:00,10/08/2013 00:00,"72.172.88.177","72.172.88.0","US","com",32,25,29,29/06/2012 00:00,29/06/2012 00:00
7,"yellowhours.com",2838,285602,1,17,199001,4609606,949207,18/06/2009 00:00,10/08/2013 00:00,"50.62.240.1","50.62.240.0","US","com",28,18,17,21/06/2012 00:00,06/08/2012 00:00
8,"egtheatre.com",326,-1,1,13,34480,78933,19846,08/11/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",18,6,13,12/05/2010 00:00,12/05/2010 00:00
9,"gooclip.net",3770,-1,1,12,281001,1551709,37609,26/02/2008 00:00,02/06/2013 00:00,"217.91.86.188","217.91.86.0","DE","net",14,6,12,29/05/2012 00:00,29/05/2012 00:00
10,"vongcong.com",3495,682621,1,11,517053,322250,153540,22/12/2009 00:00,10/08/2013 00:00,"205.234.140.231","205.234.140.0","US","com",47,18,11,22/06/2012 00:00,07/12/2012 00:00
11,"cleanersweb.info",303,-1,1,10,2263,27845,26358,24/10/2010 00:00,10/08/2013 00:00,"72.167.76.82","72.167.76.0","US","info",16,2,10,27/10/2010 00:00,01/11/2012 00:00
12,"yellowpages.com",331984,559,1,8,43366383,90346516,1438715,09/01/2008 00:00,10/08/2013 00:00,"208.93.105.105","208.93.105.0","US","com",58,61,8,08/04/2010 00:00,08/04/2010 00:00
13,"thetraveltart.com",3491,102467,1,8,101287,30883,22787,19/06/2009 00:00,31/07/2013 00:00,"141.101.116.35","141.101.116.0","EU","com",34,19,8,05/03/2011 00:00,07/03/2013 00:00
14,"makeseodirectory.com",852,-1,1,8,31147,21110,15356,13/01/2010 00:00,06/06/2013 00:00,"82.98.86.167","82.98.86.0","DE","com",12,12,8,09/10/2010 00:00,01/11/2010 00:00
15,"myplasticfreelife.com",2736,429647,1,7,438956,29625,22106,01/01/2011 00:00,10/08/2013 00:00,"66.147.244.143","66.147.244.0","US","com",41,31,7,26/01/2011 00:00,04/04/2011 00:00
16,"homeaward.com",569,-1,1,7,18092,53452,27503,15/01/2008 00:00,10/08/2013 00:00,"208.92.166.188","208.92.166.0","US","com",27,41,7,14/07/2012 00:00,28/09/2012 00:00
17,"trs24-7.com",123,-1,1,7,437,35,23,14/10/2010 00:00,25/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",12,2,7,14/10/2010 00:00,14/10/2010 00:00
18,"brownbook.net",47539,12846,1,5,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,5,02/05/2012 00:00,26/06/2012 00:00
19,"139.li",7768,344812,1,5,243489,251207,159431,01/12/2011 00:00,10/08/2013 00:00,"184.168.59.1","184.168.59.0","US","li",39,5,5,24/03/2013 00:00,03/05/2013 00:00
20,"searchsight.com",25557,11562,1,4,1940159,1029931,417058,09/01/2008 00:00,28/07/2013 00:00,"98.124.199.1","98.124.199.0","US","com",33,27,4,15/06/2012 00:00,15/06/2012 00:00
21,"twibs.com",6680,127631,1,4,162450,1605221,750111,18/03/2009 00:00,10/08/2013 00:00,"208.109.14.112","208.109.14.0","US","com",34,25,4,15/04/2012 00:00,09/04/2013 00:00
22,"leapfish.com",15629,631967,1,3,2346097,7981589,508633,14/01/2008 00:00,10/08/2013 00:00,"66.246.235.59","66.246.235.0","US","com",39,29,3,15/04/2009 00:00,15/04/2009 00:00
23,"articlesglobal.com",25232,655046,1,3,1689189,540022,191727,14/10/2010 00:00,10/08/2013 00:00,"184.168.26.1","184.168.26.0","US","com",44,17,3,23/03/2013 00:00,31/03/2013 00:00
24,"articles.org",15552,21646,1,2,500706,631607,166567,01/10/2008 00:00,10/08/2013 00:00,"50.57.174.22","50.57.174.0","US","org",31,17,2,20/05/2012 00:00,20/05/2012 00:00
25,"bluewaterarticles.com",6875,30063,1,2,322595,778163,398729,20/01/2008 00:00,10/08/2013 00:00,"50.63.70.1","50.63.70.0","US","com",37,9,2,26/10/2012 00:00,08/01/2013 00:00
26,"fox5vegas.com",54128,56898,1,2,3615554,7516051,695376,09/01/2008 00:00,10/08/2013 00:00,"184.28.17.219","184.28.17.0","US","com",54,39,2,19/06/2010 00:00,19/06/2010 00:00
27,"rxsavingsblog.com",23654,197727,1,2,1331523,439770,175433,19/06/2012 00:00,11/07/2013 00:00,"216.139.211.23","216.139.211.0","US","com",40,9,2,24/03/2013 00:00,24/03/2013 00:00
28,"digg3.com",6980,224412,1,2,721858,1596850,593510,11/10/2008 00:00,10/08/2013 00:00,"174.121.82.195","174.121.82.0","US","com",37,10,2,19/05/2013 00:00,19/05/2013 00:00
29,"greatarticlesite.com",7799,334554,1,2,332265,922379,249268,07/08/2008 00:00,10/08/2013 00:00,"205.204.72.195","205.204.72.0","CA","com",39,9,2,10/03/2013 00:00,12/07/2013 00:00
30,"i-dio.com",1562,484496,1,2,27981,379867,242275,18/11/2009 00:00,10/08/2013 00:00,"174.120.155.62","174.120.155.0","US","com",16,11,2,08/03/2010 00:00,08/03/2010 00:00
31,"articleblade.com",5305,775856,1,2,170414,238983,57635,06/04/2011 00:00,05/08/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",22,6,2,13/06/2012 00:00,13/06/2012 00:00
32,"evitae.org",17598,795293,1,2,2564945,70436,51030,29/06/2008 00:00,10/08/2013 00:00,"75.119.203.188","75.119.203.0","US","org",46,35,2,21/04/2013 00:00,23/04/2013 00:00
33,"makerlab.info",970,986369,1,2,14987,64545,56716,21/10/2011 00:00,09/08/2013 00:00,"88.84.137.155","88.84.137.0","DE","info",22,23,2,27/03/2013 00:00,27/03/2013 00:00
34,"tera88.com",2607,-1,1,2,167001,108330,76805,18/03/2012 00:00,10/08/2013 00:00,"67.215.66.132","67.215.66.0","US","com",35,3,2,14/05/2013 00:00,14/05/2013 00:00
35,"awmusic.ca",6573,-1,1,2,641886,44998,30405,14/02/2009 00:00,10/08/2013 00:00,"72.167.131.58","72.167.131.0","US","ca",40,24,2,30/06/2012 00:00,30/06/2012 00:00
36,"valuesearchengine.com",1109,-1,1,2,9694,96434,73356,10/05/2009 00:00,10/08/2013 00:00,"72.46.128.218","72.46.128.0","US","com",16,2,2,02/04/2013 00:00,02/04/2013 00:00
37,"waterdamageandwaterrestoration.com",5,-1,1,2,8,9465,9301,10/03/2013 00:00,08/08/2013 00:00,"173.237.136.62","173.237.136.0","US","com",4,0,2,01/04/2013 00:00,01/04/2013 00:00
38,"ranaburr.com",71,-1,1,2,511,240,192,14/02/2008 00:00,30/07/2013 00:00,"174.120.150.7","174.120.150.0","US","com",14,0,2,06/10/2010 00:00,29/11/2011 00:00
39,"discoursequestion.info",93,-1,1,2,1782,4362,638,19/06/2012 00:00,25/07/2012 00:00,"50.63.202.78","50.63.202.0","US","info",7,0,2,19/06/2012 00:00,19/06/2012 00:00
40,"piececourt.info",8,-1,1,2,66,888,385,18/01/2012 00:00,29/06/2012 00:00,"","","","info",5,0,2,11/04/2012 00:00,11/04/2012 00:00
41,"scoopspot.info",79,-1,1,2,1494,2776,1205,19/06/2012 00:00,10/07/2012 00:00,"184.168.221.91","184.168.221.0","US","info",7,0,2,12/04/2012 00:00,12/04/2012 00:00
42,"solorpanelnow.info",43,-1,1,2,1487,18238,13620,26/02/2013 00:00,10/08/2013 00:00,"174.120.8.251","174.120.8.0","US","info",4,0,2,09/07/2013 00:00,09/07/2013 00:00
43,"thinkpiecescene.info",117,-1,1,2,526,1024,159,19/06/2012 00:00,17/07/2012 00:00,"68.178.232.100","68.178.232.0","US","info",8,0,2,17/07/2012 00:00,17/07/2012 00:00
44,"adminso.net",4184,-1,1,2,106529,117828,41259,06/05/2010 00:00,10/08/2013 00:00,"173.201.84.193","173.201.84.0","US","net",19,6,2,16/04/2012 00:00,16/04/2012 00:00
45,"carpetcleanermachine.org",9,-1,1,2,22,37,33,30/12/2009 00:00,31/07/2013 00:00,"74.220.199.8","74.220.199.0","US","org",0,0,2,04/01/2011 00:00,29/01/2011 00:00
46,"destindelafrique.org",1063,-1,1,2,9386,95569,36269,05/07/2010 00:00,23/04/2013 00:00,"69.43.161.178","69.43.161.0","US","org",11,6,2,26/04/2012 00:00,26/04/2012 00:00
47,"usdtoindia.com",5738,-1,1,2,172098,132003,90617,11/10/2009 00:00,26/05/2013 00:00,"97.74.144.186","97.74.144.0","US","com",24,4,2,23/04/2012 00:00,23/04/2012 00:00
48,"pumptrade.com",5074,-1,1,2,158038,40634,11912,19/02/2008 00:00,10/08/2013 00:00,"50.63.202.11","50.63.202.0","US","com",22,12,2,17/05/2012 00:00,17/05/2012 00:00
49,"featuredlinkdirectory.ws",1108,-1,1,2,409557,61136,20040,27/10/2009 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","ws",25,12,2,17/05/2011 00:00,19/11/2011 00:00
50,"fakeplasticfish.com",4742,-1,1,2,366994,14020,10932,04/02/2008 00:00,29/01/2011 00:00,"66.147.244.143","66.147.244.0","US","com",25,27,2,21/04/2010 00:00,16/12/2010 00:00
51,"lasvegasokay.com",856,-1,1,2,1311043,17411,15123,17/10/2008 00:00,10/08/2013 00:00,"70.34.194.200","70.34.194.0","US","com",22,7,2,06/07/2011 00:00,18/10/2011 00:00
52,"jasonwanderson.com",1767,-1,1,2,14615,261,233,04/12/2012 00:00,30/07/2013 00:00,"74.53.232.164","74.53.232.0","US","com",17,3,2,20/08/2012 00:00,21/01/2013 00:00
53,"blogspot.com",10026461,11,1,1,30390382927,4792000861,276091166,09/01/2008 00:00,10/08/2013 00:00,"173.194.73.191","173.194.73.0","US","com",95,90,1,25/10/2009 00:00,25/10/2009 00:00
54,"merchantcircle.com",236388,2357,1,1,68946538,4740343,248885,09/01/2008 00:00,10/08/2013 00:00,"74.217.79.227","74.217.79.0","US","com",58,53,1,24/01/2012 00:00,25/01/2012 00:00
55,"insiderpages.com",150672,7770,1,1,40465806,27772134,2201048,09/01/2008 00:00,10/08/2013 00:00,"50.17.200.139","50.17.200.0","US","com",57,45,1,07/06/2010 00:00,07/06/2010 00:00
56,"showmelocal.com",25924,12789,1,1,48650052,19415668,1883617,11/01/2008 00:00,10/08/2013 00:00,"208.74.201.175","208.74.201.0","US","com",44,41,1,03/04/2012 00:00,03/04/2012 00:00
57,"yellowbot.com",79415,14237,1,1,5784869,42633962,1985940,09/01/2008 00:00,10/08/2013 00:00,"199.15.177.185","199.15.177.0","US","com",54,58,1,30/03/2012 00:00,30/03/2012 00:00
58,"reviewjournal.com",61959,18833,1,1,45379356,57215594,2545354,09/01/2008 00:00,10/08/2013 00:00,"54.245.88.31","54.245.88.0","US","com",72,62,1,22/06/2010 00:00,22/06/2010 00:00
59,"feedagg.com",44595,24982,1,1,57694854,14278317,2060226,10/01/2008 00:00,10/08/2013 00:00,"207.58.165.226","207.58.165.0","US","com",54,35,1,29/09/2012 00:00,29/09/2012 00:00
60,"expressbusinessdirectory.com",5031,26896,1,1,329401,238443,97736,14/10/2011 00:00,10/08/2013 00:00,"173.248.128.158","173.248.128.0","US","com",43,19,1,29/06/2012 00:00,24/05/2013 00:00
61,"yellowee.com",7903,40390,1,1,186601,4386161,441909,28/10/2010 00:00,10/08/2013 00:00,"64.208.182.34","64.208.182.0","US","com",40,42,1,13/04/2012 00:00,13/04/2012 00:00
62,"vacau.com",213517,45757,1,1,23191843,2668843,628031,06/12/2008 00:00,10/08/2013 00:00,"208.43.151.204","208.43.151.0","US","com",53,34,1,03/04/2011 00:00,03/04/2011 00:00
63,"chainarticles.com",1779,48772,1,1,6368795,252049,113043,21/10/2010 00:00,10/08/2013 00:00,"94.23.146.214","94.23.146.0","NL","com",29,11,1,14/04/2013 00:00,14/04/2013 00:00
64,"cafelaunch.com",1435,50273,1,1,8112,2210,1835,12/03/2008 00:00,09/08/2013 00:00,"72.167.232.144","72.167.232.0","US","com",20,11,1,01/12/2011 00:00,28/04/2012 00:00
65,"company.com",18144,57078,1,1,2407086,13313215,1140575,09/08/2008 00:00,10/08/2013 00:00,"208.74.66.138","208.74.66.0","US","com",41,42,1,25/03/2013 00:00,08/06/2013 00:00
66,"bolalist.com",6616,73117,1,1,157883,140624,113093,18/01/2009 00:00,10/08/2013 00:00,"173.0.129.54","173.0.129.0","US","com",41,14,1,03/04/2013 00:00,05/08/2013 00:00
67,"sciencenewsarticles.org",27933,92746,1,1,1321362,308481,143656,06/07/2010 00:00,10/08/2013 00:00,"50.63.202.83","50.63.202.0","US","org",40,14,1,07/06/2012 00:00,07/06/2012 00:00
68,"trivok.com",2560,97002,1,1,176450,961353,179733,14/06/2012 00:00,10/08/2013 00:00,"93.189.36.2","93.189.36.0","ES","com",24,22,1,17/06/2013 00:00,17/06/2013 00:00
69,"articlesnacks.com",11699,228465,1,1,199373,259871,71072,27/08/2010 00:00,10/08/2013 00:00,"174.122.7.91","174.122.7.0","US","com",33,9,1,16/06/2012 00:00,16/06/2012 00:00
70,"articlehigher.com",32133,407604,1,1,1241359,121227,42575,27/09/2011 00:00,10/08/2013 00:00,"50.116.10.96","50.116.10.0","US","com",38,12,1,03/07/2012 00:00,03/07/2012 00:00
71,"findstorenearu.com",843,592418,1,1,4143,251510,41876,30/09/2009 00:00,10/08/2013 00:00,"184.168.221.59","184.168.221.0","US","com",24,5,1,04/07/2012 00:00,04/07/2012 00:00
72,"fabrics.net",11580,657233,1,1,156699,490357,107306,09/01/2008 00:00,10/08/2013 00:00,"69.162.230.35","69.162.230.0","US","net",35,29,1,29/06/2012 00:00,29/06/2012 00:00
73,"cre8tivemv.com",5129,690621,1,1,179241,26518,20128,21/11/2009 00:00,09/08/2013 00:00,"108.162.198.189","108.162.198.0","US","com",27,12,1,08/03/2013 00:00,08/03/2013 00:00
74,"wearenetwork.com",3619,701550,1,1,344338,977531,508646,09/01/2008 00:00,10/08/2013 00:00,"31.171.249.254","31.171.249.0","CH","com",30,23,1,30/11/2010 00:00,30/11/2010 00:00
75,"articleplayer.com",5373,737693,1,1,206064,173693,40489,01/04/2011 00:00,05/08/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",18,6,1,13/06/2012 00:00,13/06/2012 00:00
76,"eranostra.com",18862,840395,1,1,911451,144966,50777,29/07/2010 00:00,09/08/2013 00:00,"173.254.28.99","173.254.28.0","US","com",29,13,1,04/04/2012 00:00,04/04/2012 00:00
77,"hotarticle.org",5665,997397,1,1,237971,399499,71970,21/01/2008 00:00,09/08/2013 00:00,"82.98.86.171","82.98.86.0","DE","org",20,6,1,26/04/2012 00:00,26/04/2012 00:00
78,"articleblitz.com",4222,-1,1,1,225882,239946,131740,21/06/2012 00:00,31/07/2013 00:00,"184.173.202.97","184.173.202.0","US","com",35,12,1,29/06/2013 00:00,29/06/2013 00:00
79,"barrierafotovoltaica.it",306,-1,1,1,10975,2969093,273434,27/12/2009 00:00,09/08/2013 00:00,"89.190.162.245","89.190.162.0","IT","it",8,7,1,27/04/2010 00:00,27/04/2010 00:00
80,"smartarticles.org",9429,-1,1,1,105972,212578,40737,27/09/2008 00:00,10/08/2013 00:00,"184.173.215.145","184.173.215.0","US","org",29,12,1,12/04/2012 00:00,12/04/2012 00:00
81,"bestandroidmarketapps.com",967,-1,1,1,75662,8399,3200,08/01/2012 00:00,23/07/2013 00:00,"69.43.161.167","69.43.161.0","US","com",12,0,1,21/06/2012 00:00,21/06/2012 00:00
82,"hpdac.net",26,-1,1,1,2644,22690,19847,25/08/2010 00:00,09/08/2013 00:00,"150.254.84.235","150.254.84.0","PL","net",13,3,1,23/04/2012 00:00,23/04/2012 00:00
83,"4ei.com",398,-1,1,1,1533,177960,29005,10/01/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",13,4,1,11/12/2008 00:00,11/12/2008 00:00
84,"cleaning-products.org",9,-1,1,1,67,8723,7558,03/04/2009 00:00,09/08/2013 00:00,"184.172.188.159","184.172.188.0","US","org",0,0,1,03/03/2013 00:00,23/07/2013 00:00
85,"localcleaner.net",52,-1,1,1,184,43687,21760,02/07/2008 00:00,04/02/2013 00:00,"141.101.116.19","141.101.116.0","EU","net",7,4,1,05/09/2012 00:00,05/09/2012 00:00
86,"penyet.net",2700,-1,1,1,639448,510861,272943,31/01/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",29,22,1,12/04/2012 00:00,12/04/2012 00:00
87,"storyhillock.info",40,-1,1,1,923,426,188,28/12/2011 00:00,21/06/2012 00:00,"199.101.28.10","199.101.28.0","US","info",6,0,1,19/06/2012 00:00,19/06/2012 00:00
88,"free-articledirectory.org",925,-1,1,1,8093,92693,63204,14/04/2008 00:00,27/06/2013 00:00,"50.34.255.200","50.34.255.0","US","org",12,5,1,13/04/2013 00:00,13/04/2013 00:00
89,"alphaarticle.net",5836,-1,1,1,108157,117785,22593,22/03/2011 00:00,27/12/2012 00:00,"67.159.44.35","67.159.44.0","US","net",12,3,1,27/04/2012 00:00,27/04/2012 00:00
90,"ansarz.com",676,-1,1,1,20904,57288,47825,20/12/2011 00:00,10/08/2013 00:00,"174.37.136.92","174.37.136.0","US","com",43,6,1,12/07/2013 00:00,12/07/2013 00:00
91,"articlesnare.info",7984,-1,1,1,184724,43685,9401,02/01/2012 00:00,01/03/2013 00:00,"74.86.197.160","74.86.197.0","US","info",20,5,1,14/06/2012 00:00,14/06/2012 00:00
92,"presumptionbackroom.info",132,-1,1,1,523,923,158,19/06/2012 00:00,06/11/2012 00:00,"68.178.232.100","68.178.232.0","US","info",7,0,1,10/07/2012 00:00,10/07/2012 00:00
93,"qwickstep.com",2479,-1,1,1,146066,6731732,369666,11/07/2010 00:00,05/05/2013 00:00,"208.91.197.134","208.91.197.0","UK","com",13,13,1,07/09/2010 00:00,07/09/2010 00:00
94,"rabunda.com",528,-1,1,1,3805,22756,19439,14/02/2008 00:00,10/08/2013 00:00,"184.168.221.96","184.168.221.0","US","com",18,8,1,13/03/2010 00:00,13/03/2010 00:00
95,"naplive.com",9,-1,1,1,17,186750,186750,19/01/2008 00:00,10/08/2013 00:00,"142.0.145.74","142.0.145.0","CA","com",0,0,1,21/09/2008 00:00,21/09/2008 00:00
96,"madebydave.com",136,-1,1,1,427,1890,1481,17/01/2008 00:00,29/07/2013 00:00,"72.167.232.225","72.167.232.0","US","com",11,11,1,16/06/2008 00:00,16/06/2008 00:00
97,"teennewspaper.com",16959,-1,1,1,705584,439746,223756,19/05/2008 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",39,10,1,14/08/2012 00:00,14/08/2012 00:00
98,"lasvegas-bestdeals.com",325,-1,1,1,1000149,800493,74268,09/01/2008 00:00,29/12/2012 00:00,"199.101.28.20","199.101.28.0","US","com",8,2,1,05/11/2009 00:00,05/11/2009 00:00
99,"therichjerkformula.com",3,-1,1,1,4,1169774,1169774,17/01/2008 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,1,02/08/2009 00:00,02/08/2009 00:00
100,"thorsrubberhammer.com",3111,-1,1,1,123669,13853,4687,04/09/2009 00:00,27/01/2013 00:00,"69.89.31.232","69.89.31.0","US","com",17,16,1,14/06/2012 00:00,14/06/2012 00:00
101,"ilove3c.com",5452,-1,1,1,76096,18986,6475,31/05/2011 00:00,12/07/2013 00:00,"69.195.80.41","69.195.80.0","US","com",23,8,1,14/07/2012 00:00,14/07/2012 00:00
102,"wnywebsite.com",1540,-1,1,1,13186,299043,221854,10/01/2008 00:00,10/08/2013 00:00,"67.225.231.224","67.225.231.0","US","com",30,10,1,27/08/2012 00:00,03/01/2013 00:00
103,"worldarticledatabase.com",2261,-1,1,1,15910,24101,8171,19/09/2008 00:00,02/08/2013 00:00,"69.43.161.167","69.43.161.0","US","com",24,2,1,15/06/2012 00:00,15/06/2012 00:00
104,"deceivers.com",1844,-1,1,1,28603,82942,31981,19/05/2011 00:00,10/08/2013 00:00,"66.155.11.238","66.155.11.0","US","com",22,4,1,29/05/2012 00:00,29/05/2012 00:00
105,"xn--tee-und-gewrzparadies-jic.de",39,-1,1,1,405,27183,21805,15/09/2008 00:00,13/04/2011 00:00,"216.8.179.25","216.8.179.0","CA","de",7,2,1,21/02/2011 00:00,21/02/2011 00:00
106,"3-b-s.eu",1738,-1,1,1,75474,1996002,218163,30/11/2010 00:00,19/07/2013 00:00,"82.98.86.165","82.98.86.0","DE","eu",17,6,1,14/12/2010 00:00,14/12/2010 00:00
107,"articles101.info",8242,-1,1,1,268530,105746,48555,06/11/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",43,6,1,12/06/2012 00:00,12/06/2012 00:00
108,"press-corp.com",2775,-1,1,1,121973,22742,20589,19/06/2012 00:00,10/08/2013 00:00,"184.168.233.1","184.168.233.0","US","com",23,3,1,17/04/2013 00:00,17/04/2013 00:00
109,"bzlinks.info",307,-1,1,1,2048,117715,22930,20/04/2010 00:00,09/08/2013 00:00,"64.95.64.194","64.95.64.0","US","info",17,6,1,31/08/2010 00:00,31/08/2010 00:00
110,"dcluxuryrealestateauctions.com",75,-1,1,1,151,1858,1851,24/05/2013 00:00,27/07/2013 00:00,"50.116.122.152","50.116.122.0","US","com",8,1,1,24/05/2013 00:00,22/07/2013 00:00
111,"devarticles.info",1671,-1,1,1,17111,31613,7682,22/11/2011 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",30,3,1,12/06/2012 00:00,12/06/2012 00:00
112,"carissaraman.com",1752,-1,1,1,51247,29230,20115,06/08/2010 00:00,10/08/2013 00:00,"50.22.11.58","50.22.11.0","US","com",13,4,1,08/04/2012 00:00,08/04/2012 00:00
113,"palmtreegalleries.com",1632,-1,1,1,9937,234613,133534,15/07/2009 00:00,10/08/2013 00:00,"118.139.170.1","118.139.170.0","SG","com",20,7,1,13/06/2012 00:00,13/06/2012 00:00
