"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sierramedservices.com","FirstLinkDate_sierramedservices.com","LastLinkDate_sierramedservices.com"
1,"injuryattorneyguide.org",4,-1,1,14,11,41760,38713,26/02/2013 00:00,23/06/2013 00:00,"199.217.117.91","199.217.117.0","US","org",6,0,14,17/03/2013 00:00,20/03/2013 00:00
2,"medicalbillingclass.org",1,-1,1,11,5,46698,38382,09/04/2013 00:00,10/08/2013 00:00,"50.23.112.133","50.23.112.0","US","org",0,0,11,14/04/2013 00:00,08/08/2013 00:00
3,"medicalbillingeducation.org",1,-1,1,10,1,29040,28058,06/05/2013 00:00,10/08/2013 00:00,"","","","org",0,0,10,10/05/2013 00:00,10/05/2013 00:00
4,"findpersonalinjurylawyers.net",84,-1,1,9,152014,162713,25402,27/03/2013 00:00,10/08/2013 00:00,"173.201.224.94","173.201.224.0","US","net",15,0,9,31/03/2013 00:00,01/04/2013 00:00
5,"autoaccidentsettlementcalculator.org",62,-1,1,8,142,16136,15825,08/03/2013 00:00,01/08/2013 00:00,"216.172.184.248","216.172.184.0","US","org",11,6,8,09/02/2013 00:00,09/02/2013 00:00
6,"ing-a-rossi.com",1692,-1,1,6,5343,85360,69499,14/01/2008 00:00,10/08/2013 00:00,"50.28.95.190","50.28.95.0","US","com",18,6,6,18/03/2013 00:00,19/03/2013 00:00
7,"searchuu.com",38,-1,1,4,722,1486810,1486809,14/11/2008 00:00,09/08/2013 00:00,"96.44.160.77","96.44.160.0","US","com",0,0,4,25/12/2011 00:00,15/01/2012 00:00
8,"personalinjurylawyershub.com",86,-1,1,4,780,22831,21135,28/02/2013 00:00,10/08/2013 00:00,"67.231.246.90","67.231.246.0","US","com",10,0,4,08/03/2013 00:00,16/07/2013 00:00
9,"101attorney.com",713,991720,1,3,63646,461221,28309,19/05/2008 00:00,10/08/2013 00:00,"108.162.196.100","108.162.196.0","US","com",27,12,3,29/07/2012 00:00,08/03/2013 00:00
10,"download-document.com",29,-1,1,3,2206,880952,880951,04/01/2010 00:00,12/02/2013 00:00,"63.156.206.202","63.156.206.0","US","com",0,0,3,16/01/2012 00:00,25/06/2012 00:00
11,"nevadajustice.org",286,-1,1,3,14739,8067,5138,30/01/2008 00:00,08/08/2013 00:00,"207.200.12.193","207.200.12.0","US","org",18,17,3,30/09/2012 00:00,30/09/2012 00:00
12,"medicarepdf.info",26,-1,1,3,442559,23473,22142,24/02/2013 00:00,10/08/2013 00:00,"50.118.102.11","50.118.102.0","US","info",18,5,3,19/03/2013 00:00,27/07/2013 00:00
13,"sssdoc.com",30,-1,1,3,843,869933,869932,04/01/2010 00:00,28/06/2013 00:00,"69.43.160.196","69.43.160.0","US","com",0,0,3,11/01/2012 00:00,11/01/2012 00:00
14,"accidentinjuryattorney.info",50,-1,1,3,81,1084,451,09/04/2012 00:00,10/08/2013 00:00,"74.220.199.9","74.220.199.0","US","info",7,0,3,03/04/2012 00:00,04/04/2012 00:00
15,"healthonlineadvisor.com",16,-1,1,2,82,395381,395380,07/08/2010 00:00,26/07/2013 00:00,"96.44.170.123","96.44.170.0","US","com",0,0,2,27/12/2011 00:00,18/01/2012 00:00
16,"caraccidentlawyersinc.com",1,-1,1,2,3,18524,18260,18/05/2013 00:00,31/07/2013 00:00,"","","","com",0,0,2,17/05/2013 00:00,19/07/2013 00:00
17,"documents-download.com",37,-1,1,2,43346,956411,956410,12/01/2010 00:00,10/08/2013 00:00,"63.156.206.202","63.156.206.0","US","com",0,0,2,16/01/2012 00:00,16/01/2012 00:00
18,"paytrafficviolation.com",1037,-1,1,2,11346,51868,29673,26/08/2010 00:00,02/08/2013 00:00,"64.91.230.107","64.91.230.0","US","com",23,2,2,23/08/2012 00:00,28/03/2013 00:00
19,"any-documents.com",29,-1,1,2,435,896466,896466,16/01/2010 00:00,12/02/2013 00:00,"199.59.243.109","199.59.243.0","US","com",0,0,2,17/01/2012 00:00,17/01/2012 00:00
20,"find-doc.com",54,-1,1,2,494,1094821,1094819,10/10/2009 00:00,12/02/2013 00:00,"63.156.206.202","63.156.206.0","US","com",0,0,2,21/12/2011 00:00,12/01/2012 00:00
21,"about-attorneys.com",230,-1,1,2,1993,82741,68030,20/06/2012 00:00,31/07/2013 00:00,"50.116.74.124","50.116.74.0","US","com",7,0,2,18/05/2013 00:00,18/05/2013 00:00
22,"docinweb.com",53,-1,1,2,770,1000615,1000615,10/10/2009 00:00,09/08/2013 00:00,"69.43.161.167","69.43.161.0","US","com",0,0,2,21/01/2012 00:00,21/01/2012 00:00
23,"medicalmobility.net",160,-1,1,2,590,10055,9035,04/12/2008 00:00,10/08/2013 00:00,"174.120.178.13","174.120.178.0","US","net",18,0,2,03/12/2012 00:00,30/06/2013 00:00
24,"pdf-txt.com",751,985371,1,1,8431,1090393,228693,04/11/2011 00:00,10/08/2013 00:00,"85.10.198.57","85.10.198.0","DE","com",18,5,1,20/05/2013 00:00,20/05/2013 00:00
25,"pdf-ebook.net",634,-1,1,1,115643,1925734,120162,23/10/2011 00:00,24/06/2013 00:00,"46.105.123.175","46.105.123.0","FR","net",8,13,1,15/01/2012 00:00,15/01/2012 00:00
26,"kneewalkerreview.org",151,-1,1,1,838,2885,1161,15/03/2012 00:00,04/10/2012 00:00,"69.89.31.77","69.89.31.0","US","org",5,0,1,19/03/2012 00:00,19/03/2012 00:00
27,"cgnnet.info",69,-1,1,1,2704,26671,15117,09/07/2013 00:00,10/08/2013 00:00,"","","","info",19,0,1,28/07/2013 00:00,28/07/2013 00:00
28,"pdftrade.com",9,-1,1,1,518,366989,366987,14/08/2010 00:00,06/08/2013 00:00,"96.44.160.75","96.44.160.0","US","com",0,0,1,23/10/2011 00:00,04/03/2012 00:00
29,"woso100.com",2356,-1,1,1,1611581,14261671,1195470,30/01/2009 00:00,10/08/2013 00:00,"120.92.246.131","120.92.246.0","CN","com",10,7,1,12/07/2010 00:00,12/07/2010 00:00
30,"seeeach.com",84,-1,1,1,725,1369021,1369021,15/10/2008 00:00,27/07/2012 00:00,"96.44.170.126","96.44.170.0","US","com",0,0,1,21/01/2012 00:00,21/01/2012 00:00
31,"personalbankdebts.com",5,-1,1,1,7,19195,16806,21/03/2013 00:00,18/05/2013 00:00,"50.116.98.209","50.116.98.0","US","com",0,0,1,07/04/2013 00:00,23/04/2013 00:00
32,"pdf-search.org",1703,-1,1,1,70354,8190208,637524,01/07/2009 00:00,10/08/2013 00:00,"67.205.55.52","67.205.55.0","US","org",20,20,1,12/10/2011 00:00,04/01/2012 00:00
33,"lawyers-in.com",136,-1,1,1,2389,11628,4737,09/01/2008 00:00,10/08/2013 00:00,"184.168.221.87","184.168.221.0","US","com",7,10,1,09/08/2012 00:00,09/08/2012 00:00
34,"howtogetaloanat18.com",7,-1,1,1,52,10445,10435,20/03/2013 00:00,31/07/2013 00:00,"184.172.173.47","184.172.173.0","US","com",7,0,1,02/05/2013 00:00,02/05/2013 00:00
35,"health-mores.com",18,-1,1,1,81,398565,398564,29/07/2010 00:00,30/07/2013 00:00,"96.44.160.77","96.44.160.0","US","com",0,0,1,19/01/2012 00:00,19/01/2012 00:00
36,"goopdf.com",24,-1,1,1,511,675365,675364,05/03/2010 00:00,27/07/2012 00:00,"96.44.170.123","96.44.170.0","US","com",0,0,1,24/10/2011 00:00,10/03/2012 00:00
37,"filesdrag.com",343,-1,1,1,22802,294187,126700,06/02/2013 00:00,10/08/2013 00:00,"108.162.199.113","108.162.199.0","US","com",19,2,1,01/03/2013 00:00,01/03/2013 00:00
38,"business-pdf.com",9,-1,1,1,80,296873,296872,17/08/2010 00:00,09/08/2013 00:00,"96.44.160.75","96.44.160.0","US","com",0,0,1,18/01/2012 00:00,23/01/2012 00:00
39,"attorney-profiles.com",128,-1,1,1,206491,27281,18538,15/10/2011 00:00,29/06/2013 00:00,"108.171.200.108","108.171.200.0","US","com",5,0,1,22/03/2013 00:00,22/03/2013 00:00
40,"americanbusinesslocator.com",0,-1,1,1,0,46535,23519,07/07/2013 00:00,10/08/2013 00:00,"72.18.141.26","72.18.141.0","US","com",0,0,1,07/08/2013 00:00,07/08/2013 00:00
41,"abogadosconsultas.es",43,-1,1,1,178,28163,16030,10/03/2013 00:00,08/08/2013 00:00,"69.167.143.54","69.167.143.0","US","es",5,0,1,13/03/2013 00:00,13/03/2013 00:00
42,"trisomie.org",713,-1,1,1,372739,37233,24686,03/12/2008 00:00,02/08/2013 00:00,"108.171.200.108","108.171.200.0","US","org",8,6,1,23/03/2013 00:00,23/03/2013 00:00
