"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_bnilasvegas.com","FirstLinkDate_bnilasvegas.com","LastLinkDate_bnilasvegas.com"
1,"golfwildhorse.com",1142,-1,1,169,7061,5402,3972,15/02/2008 00:00,10/08/2013 00:00,"69.175.26.214","69.175.26.0","US","com",27,31,169,09/08/2013 00:00,09/08/2013 00:00
2,"ourownvoices.com",171,-1,1,130,795,32832,26066,17/12/2009 00:00,10/08/2013 00:00,"184.168.139.1","184.168.139.0","US","com",22,5,130,30/11/2010 00:00,25/05/2013 00:00
3,"perkolate.com",3012,-1,1,82,564448,5496,4620,09/02/2008 00:00,10/08/2013 00:00,"64.130.10.15","64.130.10.0","US","com",40,24,82,05/04/2009 00:00,05/04/2009 00:00
4,"kevintaylor.ws",198,-1,1,53,4128,2882,2109,14/02/2009 00:00,10/08/2013 00:00,"64.64.22.144","64.64.22.0","US","ws",13,2,53,14/02/2009 00:00,29/03/2009 00:00
5,"long4love.net",2909,-1,1,30,215375,2965870,442560,27/05/2010 00:00,09/08/2013 00:00,"188.92.72.116","188.92.72.0","LV","net",18,12,30,01/02/2011 00:00,01/02/2011 00:00
6,"tigblog.org",73914,67446,1,10,39417423,3041575,1008109,21/01/2008 00:00,10/08/2013 00:00,"108.162.207.66","108.162.207.0","US","org",59,39,10,08/06/2011 00:00,08/06/2011 00:00
7,"gasta.eu",307,-1,1,9,617030,1492725,1492725,21/01/2008 00:00,07/08/2013 00:00,"91.210.235.70","91.210.235.0","IE","eu",0,0,9,20/08/2010 00:00,20/08/2010 00:00
8,"myfreearticlecentral.com",7287,138749,1,8,2104597,883623,674665,11/02/2008 00:00,10/08/2013 00:00,"168.144.98.178","168.144.98.0","CA","com",41,24,8,05/04/2009 00:00,28/05/2009 00:00
9,"cushendall.net",18,-1,1,8,25,440933,440933,30/06/2009 00:00,10/07/2013 00:00,"82.98.86.167","82.98.86.0","DE","net",0,0,8,20/10/2011 00:00,20/10/2011 00:00
10,"querycat.com",13953,58371,1,7,571291,2426261,328615,11/01/2008 00:00,10/08/2013 00:00,"174.129.217.153","174.129.217.0","US","com",29,24,7,11/02/2008 00:00,11/02/2008 00:00
11,"derrycity.net",20,-1,1,7,327,967352,967352,05/10/2008 00:00,24/07/2013 00:00,"82.98.86.171","82.98.86.0","DE","net",0,0,7,22/01/2010 00:00,03/03/2010 00:00
12,"firstintro.com",0,-1,1,7,0,7122,7024,19/12/2012 00:00,13/01/2013 00:00,"24.120.116.156","24.120.116.0","US","com",0,0,7,14/04/2013 00:00,19/04/2013 00:00
13,"vegasinsurance.net",2072,-1,1,6,10603,507,356,31/01/2008 00:00,10/08/2013 00:00,"64.64.21.142","64.64.21.0","US","net",30,24,6,22/06/2009 00:00,01/03/2013 00:00
14,"downtownbelfast.com",591,-1,1,6,13455243,933342,344244,03/07/2009 00:00,07/08/2013 00:00,"211.9.67.130","211.9.67.0","JP","com",16,6,6,03/11/2009 00:00,17/01/2010 00:00
15,"nabillagroup.com",154,-1,1,6,59570,136495,76109,09/12/2010 00:00,10/08/2013 00:00,"103.29.214.191","103.29.214.0","ID","com",20,0,6,07/05/2013 00:00,07/05/2013 00:00
16,"gbg.bg",13022,17047,1,5,9621252,14987982,1553212,24/01/2008 00:00,10/08/2013 00:00,"87.120.176.4","87.120.176.0","BG","bg",42,42,5,02/07/2010 00:00,02/07/2010 00:00
17,"websproutconsulting.com",1426,-1,1,5,19722,1302,982,03/12/2008 00:00,31/07/2013 00:00,"216.172.166.88","216.172.166.0","US","com",24,11,5,05/11/2010 00:00,12/07/2013 00:00
18,"northbelfast.net",19,-1,1,5,4719,1076762,1076762,27/06/2009 00:00,07/07/2013 00:00,"82.98.86.165","82.98.86.0","DE","net",0,0,5,03/10/2010 00:00,22/10/2011 00:00
19,"foyleside.com",15,-1,1,5,3174,1026333,1026332,15/06/2009 00:00,12/02/2013 00:00,"82.98.86.167","82.98.86.0","DE","com",0,0,5,18/09/2009 00:00,15/10/2010 00:00
20,"veyq.ir",3200,31330,1,4,1297067,5371104,732265,28/10/2009 00:00,10/08/2013 00:00,"176.9.85.232","176.9.85.0","DE","ir",26,15,4,26/09/2010 00:00,26/09/2010 00:00
21,"lasvegasnevada.gov",26466,129035,1,4,560150,147553,81381,11/01/2008 00:00,10/08/2013 00:00,"205.153.115.76","205.153.115.0","US","gov",43,50,4,15/09/2008 00:00,08/01/2013 00:00
22,"youblr.com",3074,153690,1,4,1353793,7410060,513471,23/02/2010 00:00,09/08/2013 00:00,"85.13.148.22","85.13.148.0","DE","com",18,10,4,30/11/2010 00:00,30/11/2010 00:00
23,"2081.org",4795,-1,1,4,169661,7245004,1004706,16/06/2008 00:00,10/08/2013 00:00,"50.63.34.1","50.63.34.0","US","org",21,12,4,08/09/2010 00:00,08/09/2010 00:00
24,"pdfgoogle.com",6,-1,1,4,12,217773,217773,28/07/2009 00:00,21/07/2013 00:00,"199.59.243.107","199.59.243.0","US","com",0,0,4,23/12/2009 00:00,23/12/2009 00:00
25,"propertywatford.com",9,-1,1,4,11,337802,337801,05/11/2009 00:00,20/07/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,4,14/05/2010 00:00,02/01/2012 00:00
26,"tpcpas.com",253,-1,1,4,1354,560,384,18/09/2009 00:00,08/08/2013 00:00,"74.86.195.192","74.86.195.0","US","com",19,9,4,10/04/2010 00:00,29/01/2012 00:00
27,"dublinsouthside.com",20,-1,1,4,892,1037747,1037747,12/06/2009 00:00,13/02/2013 00:00,"82.98.86.169","82.98.86.0","DE","com",0,0,4,03/08/2010 00:00,20/09/2010 00:00
28,"ballycastle.net",7,-1,1,4,7,253374,253373,05/06/2009 00:00,12/02/2013 00:00,"82.98.86.163","82.98.86.0","DE","net",0,0,4,29/04/2011 00:00,27/11/2011 00:00
29,"propertynewcastle.net",13,-1,1,4,845,711019,711019,09/10/2008 00:00,29/07/2013 00:00,"82.98.86.172","82.98.86.0","DE","net",0,0,4,21/07/2010 00:00,12/08/2010 00:00
30,"winhendra.com",534,-1,1,4,92030,76373,52745,06/01/2011 00:00,10/08/2013 00:00,"31.170.166.83","31.170.166.0","US","com",35,0,4,06/05/2013 00:00,06/05/2013 00:00
31,"searchgame.co.uk",24,-1,1,4,1225,711930,711930,18/02/2010 00:00,12/03/2013 00:00,"91.210.235.70","91.210.235.0","IE","uk",0,0,4,11/10/2011 00:00,11/10/2011 00:00
32,"bni.com",16730,89578,1,3,2462091,25616,21829,20/01/2008 00:00,10/08/2013 00:00,"207.38.22.93","207.38.22.0","US","com",48,34,3,08/06/2008 00:00,05/06/2013 00:00
33,"articleavenue.com",5285,152985,1,3,1241322,206411,140891,12/01/2008 00:00,10/08/2013 00:00,"208.109.181.122","208.109.181.0","US","com",29,28,3,05/09/2010 00:00,05/09/2010 00:00
34,"bigfinder.de",12138,428763,1,3,1869979,113498,72123,26/01/2008 00:00,10/08/2013 00:00,"83.133.125.202","83.133.125.0","DE","de",27,14,3,21/06/2011 00:00,21/06/2011 00:00
35,"ardglass.com",28,-1,1,3,45,721964,721964,07/12/2009 00:00,13/02/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",0,0,3,09/04/2010 00:00,04/07/2010 00:00
36,"blackdating-club.com",0,-1,1,3,0,277417,277417,07/02/2008 00:00,05/09/2009 00:00,"208.73.211.14","208.73.211.0","US","com",0,0,3,22/02/2009 00:00,11/04/2009 00:00
37,"biomechlv.com",89,-1,1,3,4452,1345,1208,12/01/2008 00:00,07/08/2013 00:00,"72.167.232.69","72.167.232.0","US","com",14,11,3,12/01/2008 00:00,12/01/2008 00:00
38,"quarkbase.com",23096,-1,1,3,1532723,3102269,1223741,24/07/2009 00:00,16/10/2012 00:00,"23.23.149.228","23.23.149.0","US","com",33,32,3,16/12/2009 00:00,16/12/2009 00:00
39,"sguub.com",3,-1,1,3,3,911996,911996,12/11/2009 00:00,10/08/2013 00:00,"97.74.215.184","97.74.215.0","US","com",0,0,3,05/03/2010 00:00,05/03/2010 00:00
40,"propertybrighton.com",15,-1,1,3,24,551787,551787,29/09/2008 00:00,28/12/2012 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,3,28/08/2010 00:00,14/09/2010 00:00
41,"nnbw.biz",1405,-1,1,3,79479,1286249,306993,09/01/2008 00:00,10/08/2013 00:00,"65.164.25.29","65.164.25.0","US","biz",12,22,3,12/03/2013 00:00,12/03/2013 00:00
42,"businessgroupfinder.com",3,-1,1,3,4,1616,1616,16/04/2011 00:00,09/08/2013 00:00,"72.47.228.154","72.47.228.0","US","com",9,3,3,30/07/2013 00:00,30/07/2013 00:00
43,"click2britain.com",2874,-1,1,3,1264243,2483541,759018,16/01/2008 00:00,27/05/2013 00:00,"81.21.75.42","81.21.75.0","UK","com",15,19,3,21/02/2010 00:00,28/11/2010 00:00
44,"reviewjournal.com",61959,18833,1,2,45379356,57215594,2545354,09/01/2008 00:00,10/08/2013 00:00,"54.245.88.31","54.245.88.0","US","com",72,62,2,29/07/2013 00:00,29/07/2013 00:00
45,"a1articles.com",33827,19358,1,2,977896,5343363,1732804,11/01/2008 00:00,10/08/2013 00:00,"66.71.243.57","66.71.243.0","US","com",52,30,2,10/12/2010 00:00,10/12/2010 00:00
46,"article-treasure.com",4318,35211,1,2,246558,8052737,492089,22/01/2008 00:00,10/08/2013 00:00,"188.165.238.157","188.165.238.0","FR","com",30,24,2,15/06/2012 00:00,15/06/2012 00:00
47,"searchcanvas.com",4177,76136,1,2,95537,11481900,685742,28/11/2009 00:00,10/08/2013 00:00,"67.225.149.211","67.225.149.0","US","com",30,14,2,09/07/2010 00:00,25/08/2010 00:00
48,"smallbizbee.com",4393,204893,1,2,81409,8385,6440,07/10/2008 00:00,10/08/2013 00:00,"70.40.197.219","70.40.197.0","US","com",32,19,2,09/02/2009 00:00,17/01/2012 00:00
49,"sewarenlibrary.com",14721,270347,1,2,159253,253102,149580,02/10/2010 00:00,10/08/2013 00:00,"198.1.71.237","198.1.71.0","US","com",30,22,2,19/08/2012 00:00,18/04/2013 00:00
50,"casinovendors.com",4897,375326,1,2,152142,113967,91974,10/01/2008 00:00,10/08/2013 00:00,"216.116.204.1","216.116.204.0","US","com",45,39,2,22/02/2011 00:00,22/02/2011 00:00
51,"jobsinmarketing.us",116,-1,1,2,820,791433,20092,14/11/2010 00:00,29/01/2013 00:00,"199.101.28.20","199.101.28.0","US","us",6,0,2,13/08/2011 00:00,13/08/2011 00:00
52,"linklv.com",674,-1,1,2,24585,296,186,06/02/2008 00:00,08/08/2013 00:00,"184.106.118.173","184.106.118.0","US","com",15,21,2,06/02/2008 00:00,06/02/2008 00:00
53,"myclassifiedcentral.com",363,-1,1,2,1501262,360329,275131,23/01/2008 00:00,09/08/2013 00:00,"168.144.98.178","168.144.98.0","CA","com",21,2,2,29/04/2009 00:00,11/07/2012 00:00
54,"lasvegas-bestdeals.com",325,-1,1,2,1000149,800493,74268,09/01/2008 00:00,29/12/2012 00:00,"199.101.28.20","199.101.28.0","US","com",8,2,2,10/11/2009 00:00,09/01/2010 00:00
55,"propertyluton.com",29,-1,1,2,3185,421353,421352,26/10/2009 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,2,16/02/2010 00:00,16/02/2010 00:00
56,"royalavenue.com",7,-1,1,2,5515,457103,457103,06/07/2009 00:00,12/02/2013 00:00,"82.98.86.173","82.98.86.0","DE","com",0,0,2,19/10/2011 00:00,19/10/2011 00:00
57,"lasvegasmarketreport.com",471,-1,1,2,10437,5773,5484,03/10/2009 00:00,10/08/2013 00:00,"65.197.142.143","65.197.142.0","US","com",31,13,2,21/11/2009 00:00,08/05/2012 00:00
58,"siwspromos.com",93,-1,1,2,952,498,250,14/02/2008 00:00,10/08/2013 00:00,"50.63.82.1","50.63.82.0","US","com",16,17,2,28/03/2011 00:00,30/06/2013 00:00
59,"surfni.com",266,-1,1,2,332365,1197707,1197706,13/02/2008 00:00,12/03/2013 00:00,"91.210.235.70","91.210.235.0","IE","com",4,0,2,04/06/2010 00:00,04/06/2010 00:00
60,"themetrohub.com",169,-1,1,2,65880,89830,77700,05/05/2009 00:00,10/08/2013 00:00,"64.34.196.122","64.34.196.0","US","com",11,11,2,18/04/2011 00:00,07/04/2013 00:00
61,"weareimagine.com",46,-1,1,2,1303,1683,1426,23/12/2012 00:00,31/07/2013 00:00,"216.172.164.69","216.172.164.0","US","com",9,6,2,01/07/2013 00:00,01/07/2013 00:00
62,"wisechiropractor.com",94,-1,1,2,2795,1172,875,29/07/2009 00:00,08/08/2013 00:00,"216.240.189.1","216.240.189.0","US","com",11,8,2,10/10/2009 00:00,10/10/2009 00:00
63,"networktoday.info",2,-1,1,2,4,21,18,01/06/2013 00:00,18/07/2013 00:00,"173.201.216.100","173.201.216.0","US","info",7,0,2,30/03/2013 00:00,02/07/2013 00:00
64,"globalgateway.eu",1565,-1,1,2,19065173,8051844,255427,06/11/2010 00:00,25/07/2013 00:00,"88.198.231.9","88.198.231.0","DE","eu",17,7,2,29/04/2011 00:00,03/04/2012 00:00
65,"petsbcute.com",63,-1,1,2,23072,142537,123982,02/11/2008 00:00,21/01/2013 00:00,"66.78.45.111","66.78.45.0","US","com",5,2,2,04/08/2010 00:00,04/08/2010 00:00
66,"lasvegasbusinessdaily.com",164,-1,1,2,28202,7680,7222,23/10/2008 00:00,04/10/2011 00:00,"209.17.186.101","209.17.186.0","CA","com",4,0,2,23/10/2008 00:00,23/10/2008 00:00
67,"lasik-fact.com",0,-1,1,2,0,417637,417637,06/02/2008 00:00,12/02/2010 00:00,"208.73.211.152","208.73.211.0","US","com",0,0,2,21/03/2009 00:00,21/03/2009 00:00
68,"emachineparts.com",1709,-1,1,2,113345,41136,17509,15/07/2010 00:00,13/02/2013 00:00,"208.73.210.85","208.73.210.0","US","com",5,5,2,08/08/2010 00:00,08/08/2010 00:00
69,"shia.me.uk",14,-1,1,2,25,581511,581511,09/01/2010 00:00,13/10/2011 00:00,"81.200.64.50","81.200.64.0","UK","uk",0,0,2,23/01/2011 00:00,23/01/2011 00:00
70,"dynamic-coaching.com",1062,-1,1,2,5194,2641,2520,06/02/2008 00:00,10/08/2013 00:00,"24.120.233.101","24.120.233.0","US","com",14,28,2,26/10/2011 00:00,16/07/2013 00:00
71,"hanliumm1.com",5192,-1,1,2,129060,592365,195374,14/08/2010 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",25,6,2,23/03/2012 00:00,23/03/2012 00:00
72,"whyinsurance.net",2,-1,1,2,2,870703,870703,16/06/2008 00:00,07/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",0,0,2,26/04/2010 00:00,13/07/2010 00:00
73,"downselot.com",4046,-1,1,2,184446,2477553,742941,08/05/2009 00:00,28/06/2013 00:00,"188.92.75.58","188.92.75.0","LV","com",17,13,2,08/04/2010 00:00,08/06/2010 00:00
74,"satangel.ru",2517,-1,1,2,251536,19975750,691893,10/01/2010 00:00,02/06/2013 00:00,"92.42.70.10","92.42.70.0","NO","ru",9,4,2,23/08/2010 00:00,23/08/2010 00:00
75,"bniibp.com",2,-1,1,2,3,24,24,27/09/2010 00:00,14/12/2012 00:00,"50.63.202.73","50.63.202.0","US","com",0,0,2,10/08/2010 00:00,05/11/2012 00:00
76,"familyfurandfun.com",209,-1,1,2,2487,89,41,25/11/2008 00:00,10/08/2013 00:00,"69.175.70.186","69.175.70.0","US","com",13,12,2,20/09/2008 00:00,25/06/2013 00:00
77,"houstonsneighborhoods.com",163,-1,1,2,28321,14873,14534,24/08/2009 00:00,11/02/2013 00:00,"184.168.221.96","184.168.221.0","US","com",0,0,2,20/10/2009 00:00,20/10/2009 00:00
78,"bandjbookkeeping.com",20,-1,1,2,43,206,206,03/02/2008 00:00,15/07/2013 00:00,"97.74.144.5","97.74.144.0","US","com",4,0,2,11/03/2008 00:00,11/03/2008 00:00
79,"royalty-free-images.net",2,-1,1,2,2,725539,725539,06/12/2008 00:00,17/07/2013 00:00,"184.170.143.141","184.170.143.0","CA","net",4,0,2,12/03/2010 00:00,12/03/2010 00:00
80,"kilmainham.com",15,-1,1,2,20,144340,144340,19/06/2009 00:00,02/02/2013 00:00,"82.98.86.171","82.98.86.0","DE","com",0,0,2,19/05/2011 00:00,19/05/2011 00:00
81,"kitchentuneup.com",3288,-1,1,2,41966,3163,2702,08/02/2008 00:00,10/08/2013 00:00,"67.225.202.216","67.225.202.0","US","com",33,28,2,15/01/2010 00:00,15/01/2010 00:00
82,"anwarkim.com",1377,-1,1,2,35424,11588069,482926,19/11/2009 00:00,10/08/2013 00:00,"66.147.242.173","66.147.242.0","US","com",13,8,2,21/03/2010 00:00,05/06/2010 00:00
