"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_trs24-7.com","FirstLinkDate_trs24-7.com","LastLinkDate_trs24-7.com"
1,"birectory.com",2954,192269,1,63,372229,2660776,166443,13/10/2011 00:00,10/08/2013 00:00,"176.9.90.237","176.9.90.0","DE","com",23,18,63,13/09/2012 00:00,25/09/2012 00:00
2,"yourwaterdamage.com",15,-1,1,47,202,4773,4768,18/01/2013 00:00,10/08/2013 00:00,"65.111.165.118","65.111.165.0","US","com",21,1,47,15/03/2013 00:00,16/04/2013 00:00
3,"coppercreekconst.com",303,-1,1,30,2316,318,148,15/06/2008 00:00,27/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",13,11,30,23/08/2011 00:00,15/09/2011 00:00
4,"freedomfeednews.com",376,-1,1,28,688,215,214,11/06/2013 00:00,10/08/2013 00:00,"","","","com",23,5,28,01/06/2013 00:00,01/06/2013 00:00
5,"moldremovaldude.com",22,-1,1,14,44,42568,39105,13/02/2013 00:00,10/08/2013 00:00,"216.172.164.248","216.172.164.0","US","com",4,0,14,03/03/2013 00:00,21/03/2013 00:00
6,"yellowhours.com",2838,285602,1,12,199001,4609606,949207,18/06/2009 00:00,10/08/2013 00:00,"50.62.240.1","50.62.240.0","US","com",28,18,12,21/06/2012 00:00,06/08/2012 00:00
7,"brownbook.net",47539,12846,1,11,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,11,27/04/2012 00:00,04/05/2012 00:00
8,"doesbleachkillmold.org",367,-1,1,11,4424,14468,14086,06/02/2013 00:00,02/08/2013 00:00,"50.22.42.93","50.22.42.0","US","org",19,1,11,08/03/2013 00:00,06/07/2013 00:00
9,"trademarkcarpet.com",113,-1,1,8,568,45,33,08/11/2011 00:00,16/07/2013 00:00,"174.122.114.227","174.122.114.0","US","com",13,0,8,11/10/2011 00:00,11/10/2011 00:00
10,"waterdamagerestorationcost.com",0,-1,1,7,0,15156,14869,28/03/2013 00:00,10/08/2013 00:00,"216.172.180.180","216.172.180.0","US","com",0,0,7,01/04/2013 00:00,03/04/2013 00:00
11,"waterdamageandwaterrestoration.com",5,-1,1,7,8,9465,9301,10/03/2013 00:00,08/08/2013 00:00,"173.237.136.62","173.237.136.0","US","com",4,0,7,11/03/2013 00:00,11/03/2013 00:00
12,"magicalfloridawedding.com",9143,-1,1,7,256024,90833,81400,07/02/2008 00:00,10/08/2013 00:00,"174.34.254.123","174.34.254.0","US","com",46,12,7,02/05/2013 00:00,19/05/2013 00:00
13,"angel14.com",150,-1,1,7,15948,13368,5906,18/11/2009 00:00,10/08/2013 00:00,"76.74.254.123","76.74.254.0","US","com",25,14,7,30/06/2012 00:00,30/06/2012 00:00
14,"igolook.com",615,171969,1,6,103587,22253,14587,18/09/2009 00:00,10/08/2013 00:00,"116.0.23.207","116.0.23.0","AU","com",28,18,6,28/05/2013 00:00,28/05/2013 00:00
15,"subsedit.com",1826,-1,1,6,13056,72324,62251,04/09/2011 00:00,10/08/2013 00:00,"94.141.22.12","94.141.22.0","IT","com",25,10,6,12/05/2013 00:00,12/05/2013 00:00
16,"ebook-music-software.com",67256,232071,1,5,2473220,581994,197693,11/01/2013 00:00,10/08/2013 00:00,"184.172.170.162","184.172.170.0","US","com",56,19,5,03/04/2013 00:00,04/04/2013 00:00
17,"139.li",7768,344812,1,5,243489,251207,159431,01/12/2011 00:00,10/08/2013 00:00,"184.168.59.1","184.168.59.0","US","li",39,5,5,18/04/2013 00:00,18/04/2013 00:00
18,"annualeventpost.com",9996,813770,1,5,112753,89857,67747,01/04/2008 00:00,10/08/2013 00:00,"174.34.254.123","174.34.254.0","US","com",36,21,5,27/04/2013 00:00,27/04/2013 00:00
19,"moldnetwork.com",20,-1,1,5,49,5630,5307,08/07/2013 00:00,10/08/2013 00:00,"67.225.192.86","67.225.192.0","US","com",11,0,5,03/03/2013 00:00,11/07/2013 00:00
20,"marketingbodz.com",22714,-1,1,5,767932,432628,148388,09/08/2010 00:00,10/08/2013 00:00,"173.192.54.30","173.192.54.0","US","com",42,12,5,10/08/2013 00:00,10/08/2013 00:00
21,"autogridz.com",7087,-1,1,5,143469,115442,73718,03/09/2010 00:00,10/08/2013 00:00,"210.5.47.92","210.5.47.0","MY","com",40,13,5,08/05/2013 00:00,01/07/2013 00:00
22,"kurraglenindustries.com.au",202,-1,1,4,1835,10056,5733,28/10/2009 00:00,10/08/2013 00:00,"116.0.23.207","116.0.23.0","AU","au",11,17,4,28/02/2013 00:00,28/02/2013 00:00
23,"ansarz.com",676,-1,1,4,20904,57288,47825,20/12/2011 00:00,10/08/2013 00:00,"174.37.136.92","174.37.136.0","US","com",43,6,4,09/03/2013 00:00,08/07/2013 00:00
24,"rssmotron.com",4860,33589,1,3,1004655,432186,185239,02/02/2008 00:00,10/08/2013 00:00,"184.168.165.1","184.168.165.0","US","com",30,26,3,07/03/2013 00:00,07/03/2013 00:00
25,"adulgence.com",31619,243177,1,3,1493914,128785,78936,07/12/2012 00:00,09/08/2013 00:00,"205.196.18.130","205.196.18.0","US","com",33,12,3,05/04/2013 00:00,05/04/2013 00:00
26,"vongcong.com",3495,682621,1,3,517053,322250,153540,22/12/2009 00:00,10/08/2013 00:00,"205.234.140.231","205.234.140.0","US","com",47,18,3,31/03/2013 00:00,31/03/2013 00:00
27,"articleblade.com",5305,775856,1,3,170414,238983,57635,06/04/2011 00:00,05/08/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",22,6,3,13/06/2012 00:00,13/06/2012 00:00
28,"knowingthis.com",1599,-1,1,3,1410072,120566,97681,11/11/2008 00:00,10/08/2013 00:00,"108.2.202.236","108.2.202.0","US","com",28,1,3,14/08/2012 00:00,19/10/2012 00:00
29,"bnilasvegas.com",166,-1,1,3,809,1235,1192,04/03/2008 00:00,10/08/2013 00:00,"83.138.153.47","83.138.153.0","UK","com",16,19,3,30/03/2013 00:00,30/03/2013 00:00
30,"wordpress.com",6605676,21,1,2,12008496205,806652455,59581827,09/01/2008 00:00,10/08/2013 00:00,"66.155.11.238","66.155.11.0","US","com",94,92,2,06/05/2013 00:00,07/05/2013 00:00
31,"tumblr.com",3303617,32,1,2,9490097885,967337800,56161674,09/01/2008 00:00,10/08/2013 00:00,"66.6.36.59","66.6.36.0","US","com",93,89,2,17/06/2013 00:00,06/08/2013 00:00
32,"weebly.com",2043550,304,1,2,526999484,10048092,1784959,10/01/2008 00:00,10/08/2013 00:00,"199.34.228.103","199.34.228.0","US","com",94,55,2,16/05/2013 00:00,16/05/2013 00:00
33,"searchsight.com",25557,11562,1,2,1940159,1029931,417058,09/01/2008 00:00,28/07/2013 00:00,"98.124.199.1","98.124.199.0","US","com",33,27,2,03/05/2013 00:00,03/05/2013 00:00
34,"articles.org",15552,21646,1,2,500706,631607,166567,01/10/2008 00:00,10/08/2013 00:00,"50.57.174.22","50.57.174.0","US","org",31,17,2,20/04/2012 00:00,20/04/2012 00:00
35,"discoverourtown.com",35570,41811,1,2,2359737,1055444,593334,09/01/2008 00:00,10/08/2013 00:00,"216.139.215.90","216.139.215.0","US","com",42,48,2,15/02/2012 00:00,08/02/2013 00:00
36,"trivok.com",2560,97002,1,2,176450,961353,179733,14/06/2012 00:00,10/08/2013 00:00,"93.189.36.2","93.189.36.0","ES","com",24,22,2,26/05/2013 00:00,26/05/2013 00:00
37,"twibs.com",6680,127631,1,2,162450,1605221,750111,18/03/2009 00:00,10/08/2013 00:00,"208.109.14.112","208.109.14.0","US","com",34,25,2,22/04/2012 00:00,22/04/2012 00:00
38,"duranbook.com",68678,141647,1,2,4581466,565199,180885,06/01/2011 00:00,01/08/2013 00:00,"96.125.164.180","96.125.164.0","US","com",55,18,2,03/04/2013 00:00,03/04/2013 00:00
39,"bacfrancais.com",46294,215593,1,2,1528582,154252,82169,16/01/2008 00:00,10/08/2013 00:00,"91.121.184.129","91.121.184.0","FR","com",54,27,2,19/06/2013 00:00,19/06/2013 00:00
40,"digg3.com",6980,224412,1,2,721858,1596850,593510,11/10/2008 00:00,10/08/2013 00:00,"174.121.82.195","174.121.82.0","US","com",37,10,2,13/05/2013 00:00,13/05/2013 00:00
41,"articledome.com",5765,671095,1,2,180797,205255,42196,05/01/2011 00:00,05/08/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",21,8,2,13/06/2012 00:00,13/06/2012 00:00
42,"dwarkadelhi.com",4082,685095,1,2,86508,37303,23574,02/11/2011 00:00,10/08/2013 00:00,"106.10.153.167","106.10.153.0","SG","com",50,10,2,19/04/2013 00:00,10/07/2013 00:00
43,"dampout.org",25,-1,1,2,115,6076,6044,29/03/2013 00:00,10/08/2013 00:00,"66.147.242.87","66.147.242.0","US","org",10,0,2,28/03/2013 00:00,24/07/2013 00:00
44,"articlemuseum.com",5420,-1,1,2,244519,95313,53476,24/01/2008 00:00,13/05/2013 00:00,"54.240.162.38","54.240.162.0","US","com",18,7,2,13/06/2012 00:00,13/06/2012 00:00
45,"running-questions.com",1226,-1,1,2,55480,45417,23432,25/11/2010 00:00,24/09/2012 00:00,"63.156.206.202","63.156.206.0","US","com",11,2,2,01/06/2012 00:00,16/06/2012 00:00
46,"valuesearchengine.com",1109,-1,1,2,9694,96434,73356,10/05/2009 00:00,10/08/2013 00:00,"72.46.128.218","72.46.128.0","US","com",16,2,2,15/05/2013 00:00,16/05/2013 00:00
47,"discoursequestion.info",93,-1,1,2,1782,4362,638,19/06/2012 00:00,25/07/2012 00:00,"50.63.202.78","50.63.202.0","US","info",7,0,2,19/06/2012 00:00,19/06/2012 00:00
48,"freebloglink.com",416,-1,1,2,3348,42564,16468,12/12/2009 00:00,20/01/2013 00:00,"69.175.84.210","69.175.84.0","US","com",9,1,2,13/06/2012 00:00,13/06/2012 00:00
49,"piececourt.info",8,-1,1,2,66,888,385,18/01/2012 00:00,29/06/2012 00:00,"","","","info",5,0,2,04/04/2012 00:00,04/04/2012 00:00
50,"dirtcheapairlineticket.org",5769,-1,1,2,96366,17916,11895,06/08/2009 00:00,30/07/2013 00:00,"70.32.99.68","70.32.99.0","US","org",21,27,2,06/04/2012 00:00,07/04/2012 00:00
51,"smartarticles.org",9429,-1,1,2,105972,212578,40737,27/09/2008 00:00,10/08/2013 00:00,"184.173.215.145","184.173.215.0","US","org",29,12,2,17/04/2012 00:00,24/04/2012 00:00
52,"selltimeshare.org",1148,-1,1,2,75451,164637,107536,26/10/2011 00:00,10/08/2013 00:00,"173.203.91.103","173.203.91.0","US","org",23,3,2,08/05/2013 00:00,08/05/2013 00:00
53,"bibsonomy.org",64533,4785,1,1,55733805,54578493,2029991,15/01/2008 00:00,10/08/2013 00:00,"141.51.167.67","141.51.167.0","DE","org",49,50,1,30/01/2013 00:00,30/01/2013 00:00
54,"expressbusinessdirectory.com",5031,26896,1,1,329401,238443,97736,14/10/2011 00:00,10/08/2013 00:00,"173.248.128.158","173.248.128.0","US","com",43,19,1,24/05/2013 00:00,24/05/2013 00:00
55,"articleritz.com",2971,33910,1,1,6373987,330517,127173,06/10/2010 00:00,30/07/2013 00:00,"184.173.211.193","184.173.211.0","US","com",38,17,1,19/07/2013 00:00,19/07/2013 00:00
56,"articlesunit.com",2055,45820,1,1,6323393,430563,160648,15/09/2010 00:00,31/07/2013 00:00,"174.122.127.58","174.122.127.0","US","com",19,12,1,09/04/2013 00:00,09/04/2013 00:00
57,"chainarticles.com",1779,48772,1,1,6368795,252049,113043,21/10/2010 00:00,10/08/2013 00:00,"94.23.146.214","94.23.146.0","NL","com",29,11,1,14/04/2013 00:00,14/04/2013 00:00
58,"mysheriff.net",3534,49606,1,1,193803,1556063,241757,28/02/2010 00:00,10/08/2013 00:00,"184.106.82.13","184.106.82.0","US","net",36,16,1,03/07/2012 00:00,03/07/2012 00:00
59,"nexport.com",14094,63259,1,1,4084685,6100005,1720716,09/01/2008 00:00,10/08/2013 00:00,"157.55.168.46","157.55.168.0","US","com",35,42,1,27/08/2012 00:00,27/08/2012 00:00
60,"mylocally.com",4257,73069,1,1,528169,198100,140620,23/02/2009 00:00,10/08/2013 00:00,"204.11.102.29","204.11.102.0","US","com",37,34,1,21/06/2012 00:00,21/06/2012 00:00
61,"bolalist.com",6616,73117,1,1,157883,140624,113093,18/01/2009 00:00,10/08/2013 00:00,"173.0.129.54","173.0.129.0","US","com",41,14,1,11/07/2012 00:00,06/05/2013 00:00
62,"pinbud.com",3773,116330,1,1,2339532,4787861,621618,16/03/2010 00:00,10/08/2013 00:00,"109.163.236.171","109.163.236.0","DE","com",34,21,1,26/06/2012 00:00,26/06/2012 00:00
63,"6qube.com",3916,116847,1,1,217853,89429,36471,19/06/2009 00:00,10/08/2013 00:00,"50.22.60.10","50.22.60.0","US","com",36,16,1,27/07/2012 00:00,27/07/2012 00:00
64,"soprano.com",3881,157884,1,1,545817,63207,39580,10/01/2008 00:00,10/08/2013 00:00,"66.250.218.92","66.250.218.0","US","com",35,29,1,05/05/2012 00:00,05/05/2012 00:00
65,"freeindex.com",4241,174649,1,1,904809,112474,97952,12/12/2010 00:00,10/08/2013 00:00,"65.98.41.169","65.98.41.0","US","com",50,19,1,09/08/2013 00:00,09/08/2013 00:00
66,"rxsavingsblog.com",23654,197727,1,1,1331523,439770,175433,19/06/2012 00:00,11/07/2013 00:00,"216.139.211.23","216.139.211.0","US","com",40,9,1,21/06/2013 00:00,21/06/2013 00:00
67,"articlesnacks.com",11699,228465,1,1,199373,259871,71072,27/08/2010 00:00,10/08/2013 00:00,"174.122.7.91","174.122.7.0","US","com",33,9,1,15/06/2012 00:00,15/06/2012 00:00
68,"walldirectory.com",1759,268314,1,1,22001,19124,14369,17/03/2010 00:00,21/01/2013 00:00,"198.154.243.80","198.154.243.0","US","com",14,9,1,04/07/2012 00:00,04/07/2012 00:00
69,"greatarticlesite.com",7799,334554,1,1,332265,922379,249268,07/08/2008 00:00,10/08/2013 00:00,"205.204.72.195","205.204.72.0","CA","com",39,9,1,09/03/2013 00:00,12/07/2013 00:00
70,"articlesclip.com",2285,336133,1,1,6429792,192279,83273,30/09/2010 00:00,10/08/2013 00:00,"66.147.244.75","66.147.244.0","US","com",32,12,1,01/04/2013 00:00,01/04/2013 00:00
71,"ezinepr.com",12740,427672,1,1,328966,57440,17193,04/12/2011 00:00,16/07/2013 00:00,"109.68.33.64","109.68.33.0","UK","com",26,7,1,25/06/2012 00:00,21/12/2012 00:00
72,"articlehp.com",35082,444344,1,1,1741087,168258,50689,15/11/2011 00:00,10/08/2013 00:00,"50.116.10.96","50.116.10.0","US","com",38,14,1,26/06/2012 00:00,26/06/2012 00:00
73,"nhpw.com",1449,610058,1,1,13062,116092,73891,19/11/2011 00:00,01/08/2013 00:00,"174.120.155.34","174.120.155.0","US","com",29,17,1,10/03/2013 00:00,05/07/2013 00:00
74,"articlebanker.com",22760,622508,1,1,456171,1501020,599167,14/03/2008 00:00,10/08/2013 00:00,"209.217.250.29","209.217.250.0","US","com",30,10,1,17/06/2013 00:00,17/06/2013 00:00
75,"articlesglobal.com",25232,655046,1,1,1689189,540022,191727,14/10/2010 00:00,10/08/2013 00:00,"184.168.26.1","184.168.26.0","US","com",44,17,1,31/05/2013 00:00,31/05/2013 00:00
76,"articleplayer.com",5373,737693,1,1,206064,173693,40489,01/04/2011 00:00,05/08/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",18,6,1,13/06/2012 00:00,13/06/2012 00:00
77,"omprus.com",12980,772065,1,1,111998,279491,168063,23/02/2013 00:00,10/08/2013 00:00,"50.112.245.68","50.112.245.0","US","com",43,14,1,27/04/2013 00:00,27/04/2013 00:00
78,"articleserver.net",4601,784997,1,1,198713,343229,66949,25/12/2010 00:00,09/08/2013 00:00,"82.98.86.178","82.98.86.0","DE","net",20,3,1,18/04/2012 00:00,18/04/2012 00:00
79,"evitae.org",17598,795293,1,1,2564945,70436,51030,29/06/2008 00:00,10/08/2013 00:00,"75.119.203.188","75.119.203.0","US","org",46,35,1,07/06/2012 00:00,07/06/2012 00:00
80,"playspidermangames.net",11390,963013,1,1,275335,107366,55396,20/07/2010 00:00,10/08/2013 00:00,"72.29.127.146","72.29.127.0","US","net",42,10,1,24/04/2013 00:00,09/07/2013 00:00
81,"makerlab.info",970,986369,1,1,14987,64545,56716,21/10/2011 00:00,09/08/2013 00:00,"88.84.137.155","88.84.137.0","DE","info",22,23,1,17/04/2013 00:00,17/04/2013 00:00
82,"hotarticle.org",5665,997397,1,1,237971,399499,71970,21/01/2008 00:00,09/08/2013 00:00,"82.98.86.171","82.98.86.0","DE","org",20,6,1,20/04/2012 00:00,20/04/2012 00:00
83,"bestoflasvegas.com",1925,-1,1,1,526423,598701,145410,04/12/2010 00:00,10/08/2013 00:00,"50.112.125.251","50.112.125.0","US","com",43,42,1,13/03/2013 00:00,13/03/2013 00:00
84,"adminso.net",4184,-1,1,1,106529,117828,41259,06/05/2010 00:00,10/08/2013 00:00,"173.201.84.193","173.201.84.0","US","net",19,6,1,13/04/2012 00:00,13/04/2012 00:00
85,"baroneracing.com",122,-1,1,1,65567,1095361,1095361,13/01/2008 00:00,13/03/2013 00:00,"91.210.235.70","91.210.235.0","IE","com",0,0,1,14/11/2011 00:00,14/11/2011 00:00
86,"articlesglow.com",9983,-1,1,1,205372,525897,91669,16/11/2010 00:00,28/04/2013 00:00,"198.154.205.78","198.154.205.0","US","com",21,8,1,15/06/2012 00:00,15/06/2012 00:00
87,"penyet.net",2700,-1,1,1,639448,510861,272943,31/01/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",29,22,1,18/04/2012 00:00,18/04/2012 00:00
88,"propertyclaimtips.com",646,-1,1,1,5918,8529,5127,21/07/2008 00:00,08/08/2013 00:00,"64.92.209.173","64.92.209.0","US","com",19,6,1,10/11/2012 00:00,22/02/2013 00:00
89,"addictivecode.org",5012,-1,1,1,93406,63272,42897,28/02/2008 00:00,10/08/2013 00:00,"206.123.88.136","206.123.88.0","US","org",28,36,1,02/05/2013 00:00,02/05/2013 00:00
90,"writerspatch.info",278,-1,1,1,3546,1829,355,19/06/2012 00:00,17/07/2012 00:00,"184.168.221.76","184.168.221.0","US","info",9,0,1,19/06/2012 00:00,19/06/2012 00:00
91,"articleblitz.com",4222,-1,1,1,225882,239946,131740,21/06/2012 00:00,31/07/2013 00:00,"184.173.202.97","184.173.202.0","US","com",35,12,1,28/06/2013 00:00,28/06/2013 00:00
92,"destindelafrique.org",1063,-1,1,1,9386,95569,36269,05/07/2010 00:00,23/04/2013 00:00,"69.43.161.178","69.43.161.0","US","org",11,6,1,01/08/2012 00:00,01/08/2012 00:00
93,"area702.com",1075,-1,1,1,216244,76048,55240,13/12/2010 00:00,10/08/2013 00:00,"64.6.103.39","64.6.103.0","US","com",28,15,1,18/04/2012 00:00,18/04/2012 00:00
94,"globalsustainabilityjam.org",5848,-1,1,1,254561,74513,44484,21/10/2011 00:00,10/08/2013 00:00,"204.236.232.77","204.236.232.0","US","org",40,25,1,09/07/2013 00:00,09/07/2013 00:00
95,"hali8.org",3771,-1,1,1,108294,142979,65211,02/12/2009 00:00,10/08/2013 00:00,"50.116.84.68","50.116.84.0","US","org",26,4,1,26/06/2013 00:00,26/06/2013 00:00
96,"aeparch.com",307,-1,1,1,1305,11427,7558,15/06/2009 00:00,21/04/2012 00:00,"67.215.66.132","67.215.66.0","US","com",7,3,1,12/04/2012 00:00,12/04/2012 00:00
97,"seoarticledirectory.net",7426,-1,1,1,205538,335071,193717,07/12/2009 00:00,15/07/2013 00:00,"50.34.255.200","50.34.255.0","US","net",31,3,1,20/06/2013 00:00,20/06/2013 00:00
98,"treatisedistrict.info",193,-1,1,1,1244,1505,392,19/06/2012 00:00,26/06/2012 00:00,"72.215.225.9","72.215.225.0","US","info",8,6,1,19/06/2012 00:00,19/06/2012 00:00
99,"scoopspot.info",79,-1,1,1,1494,2776,1205,19/06/2012 00:00,10/07/2012 00:00,"184.168.221.91","184.168.221.0","US","info",7,0,1,21/06/2012 00:00,21/06/2012 00:00
100,"servicelance.com",1532,-1,1,1,19783,4189,4164,21/12/2011 00:00,10/08/2013 00:00,"96.30.50.16","96.30.50.0","US","com",29,7,1,08/03/2013 00:00,05/07/2013 00:00
101,"novinky-cz.com",8122,-1,1,1,189007,176719,54858,02/11/2009 00:00,10/08/2013 00:00,"82.98.86.165","82.98.86.0","DE","com",24,14,1,16/06/2012 00:00,16/06/2012 00:00
102,"moldwaterfirehenderson.com",0,-1,1,1,0,1,1,18/04/2011 00:00,,"","","","com",0,0,1,18/04/2011 00:00,18/04/2011 00:00
103,"moldwaterfirebouldercity.com",0,-1,1,1,0,1,1,15/07/2013 00:00,,"","","","com",0,0,1,18/04/2011 00:00,18/04/2011 00:00
104,"moldremovallasvegas.com",0,-1,1,1,0,1,1,21/07/2013 00:00,21/07/2013 00:00,"","","","com",0,0,1,18/04/2011 00:00,18/04/2011 00:00
105,"moldclean-uplasvegas.com",0,-1,1,1,0,1,1,16/07/2013 00:00,,"","","","com",0,0,1,18/04/2011 00:00,18/04/2011 00:00
106,"moldclean-uphenderson.com",0,-1,1,1,0,1,1,18/04/2011 00:00,,"","","","com",0,0,1,18/04/2011 00:00,18/04/2011 00:00
107,"lasvegascitylife.com",26017,-1,1,1,997413,2231725,473913,16/08/2008 00:00,10/08/2013 00:00,"50.112.125.251","50.112.125.0","US","com",45,39,1,09/05/2013 00:00,08/07/2013 00:00
108,"kkr-fans-news-blog.com",1798,-1,1,1,21200,43451,36996,19/06/2012 00:00,10/08/2013 00:00,"174.122.93.68","174.122.93.0","US","com",33,8,1,02/03/2013 00:00,07/07/2013 00:00
109,"hotelsbestrates.com",202,-1,1,1,130392,36947,33183,18/12/2011 00:00,10/08/2013 00:00,"173.192.220.100","173.192.220.0","US","com",17,6,1,18/03/2013 00:00,05/07/2013 00:00
110,"floodlasvegas.com",0,-1,1,1,0,1,1,16/07/2013 00:00,16/07/2013 00:00,"","","","com",0,0,1,27/03/2011 00:00,27/03/2011 00:00
111,"floodhenderson.com",0,-1,1,1,0,1,0,28/07/2013 00:00,,"","","","com",0,0,1,27/03/2011 00:00,27/03/2011 00:00
112,"zugpferde.com",1701,-1,1,1,44013,124667,72325,21/01/2009 00:00,10/08/2013 00:00,"85.214.24.209","85.214.24.0","DE","com",28,6,1,22/04/2013 00:00,22/04/2013 00:00
113,"deutschelinkliste.de",0,-1,1,1,0,48772,48772,12/03/2013 00:00,30/07/2013 00:00,"81.169.145.164","81.169.145.0","DE","de",0,0,1,27/07/2013 00:00,27/07/2013 00:00
114,"opencivic.in",1209,-1,1,1,9727,118299,61310,12/10/2011 00:00,10/08/2013 00:00,"69.163.197.192","69.163.197.0","US","in",28,5,1,30/04/2013 00:00,30/04/2013 00:00
115,"articles101.info",8242,-1,1,1,268530,105746,48555,06/11/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","info",43,6,1,11/06/2012 00:00,11/06/2012 00:00
116,"cheapcarquotesinsurance.info",8375,-1,1,1,240156,54957,13842,09/12/2011 00:00,10/08/2013 00:00,"50.63.202.57","50.63.202.0","US","info",38,5,1,16/05/2012 00:00,16/05/2012 00:00
117,"discourseneighborhood.info",69,-1,1,1,1089,2305,1416,19/06/2012 00:00,17/11/2012 00:00,"184.168.221.87","184.168.221.0","US","info",6,0,1,19/06/2012 00:00,19/06/2012 00:00
118,"contractorblock.com",94,-1,1,1,3121,27147,17268,09/01/2013 00:00,10/08/2013 00:00,"50.97.78.210","50.97.78.0","US","com",21,2,1,04/04/2013 00:00,01/07/2013 00:00
119,"guessbin.info",67,-1,1,1,116,2557,1156,18/06/2012 00:00,25/07/2012 00:00,"50.63.202.93","50.63.202.0","US","info",7,0,1,23/06/2012 00:00,23/06/2012 00:00
120,"iklanprima.info",2272,-1,1,1,365302,12676723,794189,17/10/2008 00:00,10/08/2013 00:00,"208.87.35.104","208.87.35.0","BS","info",16,2,1,02/09/2010 00:00,02/09/2010 00:00
121,"carissaraman.com",1752,-1,1,1,51247,29230,20115,06/08/2010 00:00,10/08/2013 00:00,"50.22.11.58","50.22.11.0","US","com",13,4,1,04/04/2012 00:00,04/04/2012 00:00
122,"solorpanelnow.info",43,-1,1,1,1487,18238,13620,26/02/2013 00:00,10/08/2013 00:00,"174.120.8.251","174.120.8.0","US","info",4,0,1,13/07/2013 00:00,13/07/2013 00:00
123,"search.com.vn",954,-1,1,1,678861,1054686,201848,21/02/2008 00:00,10/08/2013 00:00,"64.20.34.226","64.20.34.0","US","vn",19,13,1,14/02/2012 00:00,14/02/2012 00:00
