"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_lvpodiatry.com","FirstLinkDate_lvpodiatry.com","LastLinkDate_lvpodiatry.com"
1,"bunionrelief.org",169,-1,1,19,826,2577,2052,26/09/2010 00:00,03/08/2013 00:00,"74.54.217.194","74.54.217.0","US","org",12,1,19,30/10/2012 00:00,06/03/2013 00:00
2,"linkresell.com",1857,27381,1,10,617766,72703,63943,05/12/2011 00:00,10/08/2013 00:00,"67.20.83.144","67.20.83.0","US","com",26,10,10,22/04/2013 00:00,22/04/2013 00:00
3,"littlewebdirectory.com",20817,14589,1,9,4525810,2185125,360823,11/01/2008 00:00,10/08/2013 00:00,"208.109.138.201","208.109.138.0","US","com",37,31,9,25/09/2012 00:00,25/09/2012 00:00
4,"fixarthritis.com",698,-1,1,7,13011,34442,25590,18/09/2009 00:00,10/08/2013 00:00,"209.217.230.202","209.217.230.0","US","com",19,1,7,24/09/2012 00:00,04/07/2013 00:00
5,"jormakaukonen.com",3195,-1,1,4,42731,3619,3023,28/07/2008 00:00,31/07/2013 00:00,"174.120.202.58","174.120.202.0","US","com",23,30,4,05/09/2012 00:00,09/05/2013 00:00
6,"colecciontotal.com",265,401928,1,3,270962,88431,51650,11/02/2010 00:00,10/08/2013 00:00,"66.147.240.185","66.147.240.0","US","com",26,8,3,18/05/2013 00:00,18/05/2013 00:00
7,"naturalwartremovals.com",0,-1,1,3,0,18615,10798,09/06/2013 00:00,01/08/2013 00:00,"","","","com",0,0,3,10/06/2013 00:00,13/07/2013 00:00
8,"wldirectory.com",5660,15854,1,2,224244,362467,176878,09/01/2009 00:00,10/08/2013 00:00,"176.31.69.138","176.31.69.0","FR","com",38,32,2,10/06/2013 00:00,10/06/2013 00:00
9,"betterseodirectory.com",1124,28117,1,1,116213,136630,94416,02/05/2011 00:00,10/08/2013 00:00,"66.147.240.185","66.147.240.0","US","com",19,12,1,25/05/2013 00:00,25/05/2013 00:00
10,"add2dir.info",5688,49842,1,1,4233323,317752,233125,20/01/2008 00:00,10/07/2013 00:00,"205.196.211.22","205.196.211.0","US","info",23,18,1,10/03/2013 00:00,10/03/2013 00:00
11,"47searchengines.com",91,165686,1,1,391,170276,75382,09/06/2012 00:00,10/08/2013 00:00,"64.15.231.155","64.15.231.0","US","com",6,1,1,22/05/2013 00:00,22/05/2013 00:00
12,"submitlinks.us",1829,218533,1,1,183104,393961,73739,02/02/2009 00:00,10/08/2013 00:00,"67.20.83.144","67.20.83.0","US","us",15,21,1,09/05/2013 00:00,09/05/2013 00:00
13,"yazoo.ch",2862,220638,1,1,932605,292405,191071,11/01/2008 00:00,10/08/2013 00:00,"80.218.103.141","80.218.103.0","CH","ch",33,27,1,21/05/2013 00:00,21/05/2013 00:00
14,"dir.info",194,377676,1,1,3168,250767,62725,24/05/2009 00:00,10/08/2013 00:00,"184.154.203.122","184.154.203.0","US","info",15,7,1,10/04/2013 00:00,22/07/2013 00:00
15,"webformation.co",375,564547,1,1,20363,163320,87177,17/11/2012 00:00,10/07/2013 00:00,"108.162.198.50","108.162.198.0","US","co",10,19,1,20/03/2013 00:00,20/03/2013 00:00
16,"ny-web.com",465,910979,1,1,165666,185002,107107,31/01/2008 00:00,10/08/2013 00:00,"205.234.98.249","205.234.98.0","US","com",16,20,1,14/03/2013 00:00,14/03/2013 00:00
17,"coolgrandma.com",1341,-1,1,1,6800,963353,165558,17/01/2008 00:00,10/08/2013 00:00,"74.208.20.82","74.208.20.0","US","com",24,19,1,01/06/2013 00:00,01/06/2013 00:00
18,"widoczne.pl",265,-1,1,1,32439,671938,159623,05/09/2008 00:00,10/08/2013 00:00,"188.165.198.30","188.165.198.0","FR","pl",8,1,1,20/05/2013 00:00,20/05/2013 00:00
19,"podiatry101.com",131,-1,1,1,27425,132,131,04/07/2013 00:00,10/08/2013 00:00,"74.220.215.235","74.220.215.0","US","com",9,4,1,26/02/2013 00:00,26/02/2013 00:00
20,"search-a-lot.com",0,-1,1,1,0,48598,48597,01/10/2010 00:00,10/08/2013 00:00,"64.14.40.138","64.14.40.0","US","com",0,0,1,03/04/2013 00:00,03/04/2013 00:00
21,"searchthing.com",203,-1,1,1,660,1801336,422715,17/09/2009 00:00,10/08/2013 00:00,"216.35.75.124","216.35.75.0","US","com",14,13,1,16/03/2013 00:00,16/03/2013 00:00
22,"sucharchiv.com",2850,-1,1,1,77298,1268099,260250,09/01/2008 00:00,20/06/2013 00:00,"213.202.244.66","213.202.244.0","DE","com",17,18,1,07/06/2013 00:00,07/06/2013 00:00
23,"theproductionsite.com",258,-1,1,1,772,150801,89939,17/09/2009 00:00,28/06/2013 00:00,"74.50.5.128","74.50.5.0","US","com",4,9,1,27/04/2013 00:00,27/04/2013 00:00
24,"74searchengines.com",0,-1,1,1,0,119592,59326,16/03/2013 00:00,10/08/2013 00:00,"64.15.231.145","64.15.231.0","US","com",0,0,1,13/05/2013 00:00,13/05/2013 00:00
25,"elektrowniafotowoltaniczna.eu",0,-1,1,1,0,59169,59168,17/02/2013 00:00,10/08/2013 00:00,"188.165.198.30","188.165.198.0","FR","eu",0,0,1,07/04/2013 00:00,07/04/2013 00:00
26,"33searchengine.com",15,-1,1,1,100,59677,18573,21/02/2013 00:00,10/08/2013 00:00,"64.15.231.162","64.15.231.0","US","com",15,11,1,25/03/2013 00:00,26/07/2013 00:00
27,"nightowl.net",4321,-1,1,1,56415,1262417,280059,01/02/2008 00:00,01/08/2013 00:00,"70.84.85.87","70.84.85.0","US","net",22,17,1,24/05/2013 00:00,24/05/2013 00:00
28,"health2000.org",98,-1,1,1,525,21121,17146,16/01/2013 00:00,10/08/2013 00:00,"96.127.176.138","96.127.176.0","US","org",15,11,1,08/07/2013 00:00,08/07/2013 00:00
29,"microvas.com",258,-1,1,1,2611,295,233,23/01/2008 00:00,02/08/2013 00:00,"173.194.69.121","173.194.69.0","US","com",13,14,1,03/11/2012 00:00,30/06/2013 00:00
