"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_autoshop.com","FirstLinkDate_autoshop.com","LastLinkDate_autoshop.com"
113,"pib.com.br",2586,-1,1,2,36093,156444,63087,31/01/2008 00:00,10/08/2013 00:00,"200.194.176.25","200.194.176.0","BR","br",18,12,2,13/06/2012 00:00,13/06/2012 00:00
114,"cskin.cn",7231,-1,1,2,91638,180688,75996,11/01/2008 00:00,10/08/2013 00:00,"183.60.158.7","183.60.158.0","CN","cn",22,10,2,26/07/2012 00:00,26/07/2012 00:00
115,"amsud.net",287,-1,1,2,32273,18698,9466,06/12/2008 00:00,12/02/2013 00:00,"87.98.135.167","87.98.135.0","FR","net",11,18,2,22/04/2012 00:00,27/07/2012 00:00
116,"luchtop.nl",3930,-1,1,2,33756,52574,15334,31/01/2008 00:00,01/02/2013 00:00,"83.137.194.21","83.137.194.0","NL","nl",10,2,2,13/05/2012 00:00,13/05/2012 00:00
117,"habanerotours.de",756,-1,1,2,8161,76023,30249,24/07/2009 00:00,10/08/2013 00:00,"87.106.153.186","87.106.153.0","DE","de",21,3,2,01/08/2013 00:00,01/08/2013 00:00
118,"web3.nl",6313,-1,1,2,406926,340796,118007,14/01/2008 00:00,10/08/2013 00:00,"46.51.195.120","46.51.195.0","IE","nl",38,18,2,24/04/2012 00:00,15/07/2013 00:00
119,"4myhometown.com",936,-1,1,2,28979,1947,1866,19/06/2012 00:00,10/08/2013 00:00,"184.168.249.1","184.168.249.0","US","com",21,6,2,12/06/2012 00:00,19/06/2012 00:00
120,"actstaffing.com",218,-1,1,2,1585,60060,38847,29/04/2008 00:00,10/08/2013 00:00,"66.77.185.150","66.77.185.0","US","com",7,3,2,28/02/2013 00:00,28/02/2013 00:00
121,"hqsocken.de",1929,-1,1,2,11350,44809,24203,13/07/2008 00:00,18/07/2013 00:00,"87.238.192.101","87.238.192.0","DE","de",13,2,2,01/08/2012 00:00,22/12/2012 00:00
122,"ambl.org",1242,-1,1,2,41511,143138,73463,18/06/2008 00:00,10/08/2013 00:00,"74.208.24.175","74.208.24.0","US","org",13,4,2,30/07/2012 00:00,25/05/2013 00:00
123,"502hollywood.com",480,-1,1,2,1921,4204,1913,28/12/2010 00:00,10/08/2013 00:00,"184.168.192.4","184.168.192.0","US","com",19,9,2,06/04/2012 00:00,06/04/2012 00:00
124,"alkhansagsm.com",4953,-1,1,2,46975,1117424,225216,24/07/2008 00:00,10/08/2013 00:00,"97.74.144.174","97.74.144.0","US","com",37,11,2,13/06/2012 00:00,18/07/2012 00:00
125,"abogadosmilitares.com",50,-1,1,2,1777,61139,37298,01/03/2013 00:00,10/08/2013 00:00,"93.174.4.54","93.174.4.0","ES","com",11,1,2,01/05/2013 00:00,01/05/2013 00:00
126,"web-pole.com",82,-1,1,2,74477,26384,26310,03/04/2013 00:00,29/07/2013 00:00,"94.247.178.141","94.247.178.0","FR","com",0,0,2,18/04/2013 00:00,18/04/2013 00:00
127,"sljobfinder.com",14089,-1,1,2,119344,85750,39947,17/02/2008 00:00,10/08/2013 00:00,"184.168.221.59","184.168.221.0","US","com",35,6,2,14/06/2012 00:00,14/06/2012 00:00
128,"dublindocklands.net",25,-1,1,2,3663,822335,822335,23/04/2009 00:00,08/06/2012 00:00,"204.13.160.107","204.13.160.0","US","net",0,0,2,15/10/2011 00:00,15/10/2011 00:00
129,"radompon.com",18839,-1,1,2,255546,151301,27406,17/02/2008 00:00,10/08/2013 00:00,"119.59.120.22","119.59.120.0","TH","com",23,16,2,30/07/2012 00:00,01/12/2012 00:00
130,"umkendari.ac.id",178,-1,1,2,1318,1693,366,27/04/2011 00:00,10/08/2013 00:00,"174.120.70.140","174.120.70.0","US","id",12,3,2,13/04/2012 00:00,13/04/2012 00:00
131,"perkymomsvids.com",2719,-1,1,2,38362,7750,4283,30/01/2008 00:00,10/08/2013 00:00,"74.117.179.23","74.117.179.0","US","com",23,6,2,01/05/2012 00:00,28/06/2012 00:00
132,"hannaalm.com",392,-1,1,2,2692,464,236,20/06/2012 00:00,14/03/2013 00:00,"193.202.110.211","193.202.110.0","NL","com",11,2,2,03/07/2012 00:00,03/07/2012 00:00
133,"heritagedental.info",36,-1,1,2,801,257,213,28/04/2011 00:00,10/08/2013 00:00,"74.220.219.132","74.220.219.0","US","info",11,2,2,08/04/2013 00:00,15/07/2013 00:00
134,"inforetail.com",239,-1,1,2,2870,2164,1480,16/08/2010 00:00,10/08/2013 00:00,"205.147.208.251","205.147.208.0","US","com",14,16,2,03/05/2013 00:00,17/07/2013 00:00
135,"escn.pl",4439,-1,1,2,1027865,122917,58516,06/12/2008 00:00,10/08/2013 00:00,"91.236.52.103","91.236.52.0","PL","pl",23,8,2,21/02/2013 00:00,13/04/2013 00:00
136,"jianfenz.com",13,-1,1,2,30,371,327,29/05/2013 00:00,10/08/2013 00:00,"173.208.154.76","173.208.154.0","US","com",12,0,2,22/02/2013 00:00,03/08/2013 00:00
137,"keaneu.com",978,-1,1,2,47385,2854,1465,19/09/2009 00:00,04/03/2013 00:00,"46.23.68.92","46.23.68.0","UK","com",13,3,2,11/07/2012 00:00,11/07/2012 00:00
138,"livematurezone.com",4267,-1,1,2,46941,9522,7810,14/02/2008 00:00,10/08/2013 00:00,"74.117.176.18","74.117.176.0","US","com",20,2,2,15/05/2012 00:00,02/06/2012 00:00
139,"althiriany.com",1928,-1,1,2,13493,76418,25577,06/11/2012 00:00,10/08/2013 00:00,"50.63.38.1","50.63.38.0","US","com",28,4,2,03/05/2013 00:00,11/07/2013 00:00
140,"faineants-robustes.fr",4475,-1,1,2,56798,65944,56836,16/06/2008 00:00,09/08/2013 00:00,"87.106.15.50","87.106.15.0","DE","fr",21,1,2,26/07/2012 00:00,21/12/2012 00:00
141,"makemeablogger.com",44605,-1,1,2,1041165,835642,239770,28/11/2008 00:00,10/08/2013 00:00,"67.222.101.40","67.222.101.0","US","com",31,11,2,12/06/2012 00:00,12/06/2012 00:00
142,"copiaintl.com",21596,-1,1,2,1048343,232955,105988,28/03/2008 00:00,10/08/2013 00:00,"64.202.163.152","64.202.163.0","US","com",38,8,2,26/07/2012 00:00,01/08/2012 00:00
143,"poyo.jp",1913,-1,1,2,113081,1071517,501563,24/01/2008 00:00,10/08/2013 00:00,"219.94.254.173","219.94.254.0","JP","jp",29,40,2,28/04/2012 00:00,20/05/2012 00:00
144,"erage.eu",11311,-1,1,2,69112,49494,13904,25/01/2008 00:00,10/08/2013 00:00,"94.125.105.119","94.125.105.0","FR","eu",29,17,2,07/05/2012 00:00,07/05/2012 00:00
145,"teamcb.info",1705,-1,1,2,7523,117090,38730,28/04/2009 00:00,10/08/2013 00:00,"208.109.181.179","208.109.181.0","US","info",22,3,2,05/05/2012 00:00,05/05/2012 00:00
146,"medicalmarijuanawyoming.org",102,-1,1,2,507,5230,4253,25/05/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,0,2,01/03/2013 00:00,13/07/2013 00:00
147,"bestgaydvd.com",234,-1,1,2,5437,1110,987,15/11/2011 00:00,10/08/2013 00:00,"184.173.28.165","184.173.28.0","US","com",11,14,2,30/05/2012 00:00,30/05/2012 00:00
148,"soyuzizvest.ru",7794,-1,1,2,37455,41413,9564,09/04/2009 00:00,09/08/2013 00:00,"217.112.35.8","217.112.35.0","UK","ru",16,14,2,25/07/2012 00:00,21/03/2013 00:00
149,"bnilasvegas.com",166,-1,1,2,809,1235,1192,04/03/2008 00:00,10/08/2013 00:00,"83.138.153.47","83.138.153.0","UK","com",16,19,2,20/02/2013 00:00,30/06/2013 00:00
150,"medicalmarijuanatennessee.org",90,-1,1,2,811,5215,3879,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,0,2,06/03/2013 00:00,28/07/2013 00:00
151,"partners4results.org",635,-1,1,2,78712,8268,4243,27/08/2008 00:00,10/08/2013 00:00,"96.30.242.78","96.30.242.0","US","org",15,16,2,03/04/2012 00:00,03/04/2012 00:00
152,"medicalmarijuanautah.org",196,-1,1,2,1178,5458,3971,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",26,7,2,01/08/2013 00:00,08/08/2013 00:00
153,"youtube.com",17319452,3,1,1,34644217537,4221017727,260419341,09/01/2008 00:00,10/08/2013 00:00,"74.125.226.206","74.125.226.0","US","com",98,99,1,02/06/2011 00:00,16/06/2011 00:00
154,"noticias24.com",22484,1231,1,1,1989481,964957,400087,10/01/2008 00:00,10/08/2013 00:00,"173.203.146.195","173.203.146.0","US","com",58,34,1,13/06/2012 00:00,13/06/2012 00:00
155,"salespider.com",24521,6430,1,1,2779012,8988012,1312021,09/01/2008 00:00,10/08/2013 00:00,"67.213.76.11","67.213.76.0","CA","com",55,49,1,21/03/2013 00:00,21/03/2013 00:00
156,"reviewjournal.com",61959,18833,1,1,45379356,57215594,2545354,09/01/2008 00:00,10/08/2013 00:00,"54.245.88.31","54.245.88.0","US","com",72,62,1,11/05/2011 00:00,25/05/2011 00:00
157,"3dtotal.com",54810,24287,1,1,15278987,4033787,907479,13/01/2008 00:00,10/08/2013 00:00,"213.229.119.86","213.229.119.0","UK","com",63,60,1,20/05/2011 00:00,07/06/2013 00:00
158,"wordnewsonline.com",4057,25727,1,1,146571,1827075,695096,03/08/2009 00:00,01/06/2013 00:00,"108.162.197.52","108.162.197.0","US","com",21,25,1,17/05/2013 00:00,17/05/2013 00:00
159,"expressbusinessdirectory.com",5031,26896,1,1,329401,238443,97736,14/10/2011 00:00,10/08/2013 00:00,"173.248.128.158","173.248.128.0","US","com",43,19,1,20/03/2013 00:00,30/07/2013 00:00
160,"linkresell.com",1857,27381,1,1,617766,72703,63943,05/12/2011 00:00,10/08/2013 00:00,"67.20.83.144","67.20.83.0","US","com",26,10,1,27/05/2013 00:00,27/05/2013 00:00
161,"myhuckleberry.com",16066,28505,1,1,1072152,18837754,1507266,10/01/2008 00:00,10/08/2013 00:00,"50.116.119.77","50.116.119.0","US","com",39,32,1,01/08/2013 00:00,01/08/2013 00:00
162,"gigpark.com",31422,45941,1,1,1528202,1873837,349371,09/02/2008 00:00,10/08/2013 00:00,"75.101.144.199","75.101.144.0","US","com",32,30,1,16/05/2013 00:00,16/05/2013 00:00
163,"getfave.com",28833,64536,1,1,11561427,30123650,2117131,19/01/2008 00:00,10/08/2013 00:00,"23.21.57.89","23.21.57.0","US","com",49,31,1,10/03/2013 00:00,10/03/2013 00:00
164,"canucks.com",13594,69499,1,1,1708804,10560444,1625584,13/01/2008 00:00,10/08/2013 00:00,"8.20.73.150","8.20.73.0","US","com",34,43,1,19/07/2012 00:00,19/07/2012 00:00
165,"bolalist.com",6616,73117,1,1,157883,140624,113093,18/01/2009 00:00,10/08/2013 00:00,"173.0.129.54","173.0.129.0","US","com",41,14,1,21/03/2013 00:00,10/08/2013 00:00
166,"mediapool.bg",19206,79270,1,1,3767096,800966,378647,24/01/2008 00:00,10/08/2013 00:00,"193.194.140.19","193.194.140.0","BG","bg",47,45,1,02/06/2012 00:00,26/07/2013 00:00
167,"unifesp.br",33924,82558,1,1,1923963,1217411,552091,28/01/2008 00:00,10/08/2013 00:00,"200.17.25.11","200.17.25.0","BR","br",46,52,1,08/04/2012 00:00,08/04/2012 00:00
168,"thegnomonworkshop.com",20991,90978,1,1,1042707,335232,143515,24/01/2008 00:00,10/08/2013 00:00,"98.129.11.48","98.129.11.0","US","com",52,45,1,30/04/2011 00:00,24/01/2012 00:00
169,"tileshop.com",7380,107415,1,1,255749,88815,70160,12/01/2008 00:00,10/08/2013 00:00,"67.90.96.102","67.90.96.0","US","com",42,50,1,30/03/2012 00:00,30/03/2012 00:00
170,"walah-m.com",5396,161193,1,1,381415,2100181,498600,29/01/2010 00:00,10/08/2013 00:00,"63.143.54.234","63.143.54.0","US","com",29,7,1,30/06/2012 00:00,25/05/2013 00:00
171,"tektonic.net",10855,166847,1,1,243223,366213,148930,24/01/2008 00:00,10/08/2013 00:00,"65.254.45.254","65.254.45.0","US","net",35,45,1,12/07/2013 00:00,12/07/2013 00:00
172,"moresiteslike.net",772,264803,1,1,34746,2638641,177623,16/03/2013 00:00,08/07/2013 00:00,"213.174.158.140","213.174.158.0","US","net",20,15,1,10/04/2013 00:00,10/04/2013 00:00
173,"relax-ptc.info",3577,271783,1,1,51696,80341,32880,10/03/2011 00:00,10/08/2013 00:00,"216.59.33.202","216.59.33.0","US","info",38,11,1,16/07/2013 00:00,16/07/2013 00:00
174,"referat.com",15545,295294,1,1,557807,158973,121898,12/01/2008 00:00,10/08/2013 00:00,"93.191.12.172","93.191.12.0","RU","com",33,25,1,21/07/2012 00:00,21/07/2012 00:00
175,"iacampaigns.com",512,301252,1,1,4608,1210,845,29/08/2009 00:00,10/08/2013 00:00,"67.225.151.17","67.225.151.0","US","com",26,34,1,23/08/2012 00:00,23/08/2012 00:00
176,"k2skis.com",9231,317251,1,1,1606793,202046,108711,13/01/2008 00:00,10/08/2013 00:00,"107.20.151.182","107.20.151.0","US","com",45,55,1,12/04/2012 00:00,23/06/2012 00:00
177,"localbusinessesusa.com",1570,340236,1,1,345245,272892,146004,01/08/2009 00:00,10/08/2013 00:00,"67.227.166.55","67.227.166.0","US","com",33,18,1,22/05/2011 00:00,17/12/2011 00:00
178,"holahola.pl",2115,386599,1,1,34205,12492,7276,22/01/2008 00:00,10/08/2013 00:00,"89.161.224.95","89.161.224.0","PL","pl",36,17,1,16/06/2012 00:00,16/06/2012 00:00
179,"myluximage.com",5583,417855,1,1,28673,232036,83362,12/06/2008 00:00,31/07/2013 00:00,"96.125.161.174","96.125.161.0","US","com",21,11,1,03/06/2013 00:00,03/06/2013 00:00
180,"accessvegas.com",6764,565373,1,1,1345704,17281007,1263972,09/01/2008 00:00,10/08/2013 00:00,"50.28.50.43","50.28.50.0","US","com",50,19,1,21/04/2011 00:00,20/05/2011 00:00
181,"klewer.pl",2423,613944,1,1,88142,16093,12298,03/10/2010 00:00,10/08/2013 00:00,"79.96.43.47","79.96.43.0","PL","pl",38,10,1,27/02/2013 00:00,27/02/2013 00:00
182,"ludoko.com",545,719507,1,1,4864,8513,5640,20/03/2008 00:00,10/08/2013 00:00,"64.22.68.6","64.22.68.0","US","com",24,8,1,04/04/2013 00:00,04/04/2013 00:00
183,"vocescubanas.com",15647,728123,1,1,1410487,32576,19606,17/06/2009 00:00,10/08/2013 00:00,"68.71.58.73","68.71.58.0","CA","com",33,21,1,16/04/2012 00:00,16/04/2012 00:00
184,"ezhka.ru",6488,-1,1,1,99702,19414,6132,10/04/2011 00:00,10/08/2013 00:00,"77.222.40.91","77.222.40.0","RU","ru",22,5,1,26/06/2012 00:00,22/12/2012 00:00
185,"fabrikant-ural.ru",4340,-1,1,1,39870,101034,37628,03/09/2010 00:00,10/08/2013 00:00,"91.201.52.48","91.201.52.0","RU","ru",39,3,1,15/07/2013 00:00,15/07/2013 00:00
186,"l2mnet.ru",5129,-1,1,1,116462,78539,15116,08/08/2010 00:00,09/08/2013 00:00,"46.4.48.119","46.4.48.0","DE","ru",20,4,1,22/03/2013 00:00,22/03/2013 00:00
187,"prtcom.ru",9781,-1,1,1,740294,118889,49597,28/06/2009 00:00,09/08/2013 00:00,"78.24.40.38","78.24.40.0","RU","ru",14,2,1,14/08/2012 00:00,14/08/2012 00:00
188,"remontkoles.ru",4229,-1,1,1,43551,86572,36451,17/01/2008 00:00,10/08/2013 00:00,"78.108.80.56","78.108.80.0","RU","ru",37,5,1,15/07/2013 00:00,15/07/2013 00:00
189,"ring07.ru",10039,-1,1,1,65492,255707,37931,27/12/2008 00:00,21/05/2013 00:00,"178.236.176.69","178.236.176.0","NL","ru",13,7,1,12/06/2012 00:00,12/06/2012 00:00
190,"nappo.su",1856,-1,1,1,8621,11683,1938,16/02/2010 00:00,02/10/2012 00:00,"31.31.204.60","31.31.204.0","RU","su",11,4,1,07/08/2012 00:00,07/08/2012 00:00
191,"findforyou.tv",1226,-1,1,1,60938,29838,13615,02/05/2011 00:00,29/01/2013 00:00,"173.193.105.243","173.193.105.0","US","tv",7,0,1,28/07/2011 00:00,28/07/2011 00:00
192,"smallad.tv",136,-1,1,1,1245,608,76,14/06/2012 00:00,10/08/2013 00:00,"184.168.221.45","184.168.221.0","US","tv",11,1,1,14/06/2012 00:00,14/06/2012 00:00
193,"rdc3.net",13331,-1,1,1,103717,2366,1892,29/10/2011 00:00,10/08/2013 00:00,"64.90.60.63","64.90.60.0","US","net",42,6,1,23/03/2012 00:00,23/03/2012 00:00
194,"vengopronto.tv",193,-1,1,1,1214,19672,5220,31/03/2012 00:00,08/08/2013 00:00,"97.74.215.186","97.74.215.0","US","tv",11,2,1,17/07/2012 00:00,17/07/2012 00:00
195,"whisenhunt.tv",6762,-1,1,1,29607,1228,1220,10/03/2013 00:00,10/08/2013 00:00,"69.194.230.107","69.194.230.0","US","tv",34,9,1,04/05/2013 00:00,04/05/2013 00:00
196,"lgl20th.net",1526,-1,1,1,8997,24868,6287,01/12/2008 00:00,10/08/2013 00:00,"82.165.95.94","82.165.95.0","DE","net",13,1,1,31/03/2012 00:00,31/03/2012 00:00
197,"dadupo-bbs.com.tw",1117,-1,1,1,10038,1046186,431459,24/01/2008 00:00,11/07/2013 00:00,"82.98.86.167","82.98.86.0","DE","tw",12,8,1,07/04/2012 00:00,07/04/2012 00:00
198,"tnua.edu.tw",69266,-1,1,1,3486626,293743,128595,25/01/2008 00:00,10/08/2013 00:00,"60.251.46.221","60.251.46.0","TW","tw",46,66,1,10/07/2012 00:00,10/07/2012 00:00
199,"volyn.ua",7719,-1,1,1,415574,976804,208456,21/09/2009 00:00,10/08/2013 00:00,"64.85.163.245","64.85.163.0","US","ua",42,18,1,29/04/2012 00:00,29/04/2012 00:00
200,"giftsforothers.co.uk",76,-1,1,1,906,1775,68,19/06/2012 00:00,01/06/2013 00:00,"176.32.230.2","176.32.230.0","UK","uk",7,0,1,19/06/2012 00:00,19/06/2012 00:00
201,"jaor.net",7120,-1,1,1,64776,147651,53721,30/06/2008 00:00,10/08/2013 00:00,"80.237.133.11","80.237.133.0","DE","net",28,7,1,30/07/2013 00:00,30/07/2013 00:00
202,"joeway.co.uk",725,-1,1,1,8584,3346,617,10/10/2008 00:00,10/08/2013 00:00,"94.76.213.71","94.76.213.0","UK","uk",17,7,1,26/03/2012 00:00,26/03/2012 00:00
203,"imps4ever.net",14,-1,1,1,33,292,151,14/03/2012 00:00,24/07/2013 00:00,"74.220.199.6","74.220.199.0","US","net",0,0,1,27/06/2012 00:00,27/06/2012 00:00
204,"mortgageblog.co.uk",1410,-1,1,1,9922,4875,4236,15/04/2009 00:00,10/08/2013 00:00,"194.145.196.115","194.145.196.0","UK","uk",21,10,1,06/04/2012 00:00,06/04/2012 00:00
205,"epilepsyhelp.ru",1239,-1,1,1,5933,36126,14895,02/06/2008 00:00,10/08/2013 00:00,"77.221.155.154","77.221.155.0","RU","ru",27,3,1,27/05/2013 00:00,27/07/2013 00:00
206,"chernev.ru",1724,-1,1,1,33904,96247,21578,11/04/2009 00:00,12/10/2012 00:00,"67.215.66.132","67.215.66.0","US","ru",17,14,1,14/06/2012 00:00,14/06/2012 00:00
207,"antikas.ru",8322,-1,1,1,155329,97267,33481,04/09/2010 00:00,10/08/2013 00:00,"77.222.40.98","77.222.40.0","RU","ru",40,11,1,22/03/2013 00:00,16/07/2013 00:00
208,"propertyoxford.net",33,-1,1,1,5955,715672,715672,29/09/2008 00:00,25/06/2013 00:00,"82.98.86.172","82.98.86.0","DE","net",0,0,1,08/11/2011 00:00,08/11/2011 00:00
209,"hetaquariumcollectief.nl",584,-1,1,1,34306,37808,15686,19/02/2008 00:00,27/08/2012 00:00,"5.9.210.33","5.9.210.0","DE","nl",8,11,1,02/05/2012 00:00,02/05/2012 00:00
210,"muziekpromo.nl",14153,-1,1,1,233467,80414,26760,02/10/2008 00:00,10/08/2013 00:00,"193.43.92.120","193.43.92.0","NL","nl",48,10,1,08/06/2013 00:00,08/06/2013 00:00
211,"gatewaycollege.no",4516,-1,1,1,105018,22489,7833,23/01/2008 00:00,10/08/2013 00:00,"80.232.120.75","80.232.120.0","NO","no",24,30,1,31/07/2012 00:00,31/07/2012 00:00
212,"paulwoodart.net",178,-1,1,1,857,106,45,19/06/2012 00:00,03/07/2012 00:00,"46.30.211.61","46.30.211.0","DK","net",9,2,1,10/07/2012 00:00,10/07/2012 00:00
213,"celinac.org",4525,-1,1,1,28732,31592,15599,21/01/2008 00:00,07/08/2013 00:00,"188.40.111.44","188.40.111.0","DE","org",18,7,1,29/03/2012 00:00,29/03/2012 00:00
214,"fundacionporlajusticia.org",541,-1,1,1,8963,1491,1013,27/06/2008 00:00,10/08/2013 00:00,"31.193.225.51","31.193.225.0","ES","org",27,19,1,11/05/2013 00:00,10/08/2013 00:00
215,"insooth.org",52,-1,1,1,496,768,436,27/01/2008 00:00,04/08/2013 00:00,"64.13.232.250","64.13.232.0","US","org",5,1,1,15/07/2013 00:00,15/07/2013 00:00
216,"onlineed.org",6078,-1,1,1,43400,23668,6529,07/07/2008 00:00,10/08/2013 00:00,"174.127.104.173","174.127.104.0","US","org",18,11,1,17/04/2012 00:00,17/04/2012 00:00
217,"nekokinoko.net",108,-1,1,1,737,25975,6929,28/12/2010 00:00,07/08/2013 00:00,"203.189.109.166","203.189.109.0","JP","net",10,1,1,26/06/2012 00:00,26/06/2012 00:00
218,"sugarstitch.org",18,-1,1,1,265,37150,16313,19/10/2011 00:00,09/08/2013 00:00,"98.129.229.162","98.129.229.0","US","org",9,0,1,26/07/2012 00:00,26/07/2012 00:00
219,"britani.ru",14956,-1,1,1,114062,158809,59954,09/01/2008 00:00,10/08/2013 00:00,"178.79.175.118","178.79.175.0","UK","ru",43,10,1,01/08/2012 00:00,01/08/2012 00:00
220,"tour-dates.org",405,-1,1,1,3443,494,392,13/04/2011 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","org",15,0,1,12/05/2012 00:00,12/05/2012 00:00
221,"mullerovi.net",110,-1,1,1,1289,26536,17184,27/01/2008 00:00,14/08/2012 00:00,"69.43.161.167","69.43.161.0","US","net",13,9,1,25/07/2012 00:00,25/07/2012 00:00
222,"evis.net.ph",33591,-1,1,1,1536661,497008,254621,29/01/2008 00:00,08/08/2013 00:00,"69.64.43.146","69.64.43.0","US","ph",20,33,1,31/07/2012 00:00,31/07/2012 00:00
223,"minimalbliss.net",23528,-1,1,1,379618,169285,81482,24/01/2008 00:00,10/08/2013 00:00,"208.109.138.74","208.109.138.0","US","net",58,13,1,01/08/2012 00:00,01/08/2012 00:00
224,"aquaweb.pl",3755,-1,1,1,65713,2233,1468,03/05/2011 00:00,31/07/2013 00:00,"50.22.40.98","50.22.40.0","US","pl",19,13,1,24/05/2012 00:00,24/05/2012 00:00
225,"it-host.pl",6626,-1,1,1,340974,191008,31834,08/01/2010 00:00,15/07/2013 00:00,"216.8.179.25","216.8.179.0","CA","pl",19,17,1,10/04/2012 00:00,17/04/2012 00:00
226,"alien.net.pl",546,-1,1,1,9246,4316900,56904,10/10/2011 00:00,10/08/2013 00:00,"91.200.32.24","91.200.32.0","PL","pl",17,6,1,12/04/2011 00:00,12/04/2011 00:00
227,"paski.org.pl",1682,-1,1,1,20446,1646,1386,26/03/2008 00:00,10/08/2013 00:00,"79.96.148.162","79.96.148.0","PL","pl",30,4,1,07/08/2012 00:00,07/08/2012 00:00
